   W          E2+(pi+_n)
 (MeV)       Re        Im
 1643.00    0.59877   0.00000
 1644.00    0.59830   0.00000
 1645.00    0.59782   0.00000
 1646.00    0.59735   0.00000
 1647.00    0.59687   0.00000
 1648.00    0.59640   0.00000
 1649.00    0.59593   0.00000
 1650.00    0.59545   0.00000
 1651.00    0.59498   0.00000
 1652.00    0.59451   0.00000
 1653.00    0.59404   0.00000
 1654.00    0.59357   0.00000
 1655.00    0.59310   0.00000
 1656.00    0.59264   0.00000
 1657.00    0.59217   0.00000
 1658.00    0.59170   0.00000
 1659.00    0.59124   0.00000
 1660.00    0.59077   0.00000
 1661.00    0.59031   0.00000
 1662.00    0.58984   0.00000
 1663.00    0.58938   0.00000
 1664.00    0.58892   0.00000
 1665.00    0.58846   0.00000
 1666.00    0.58799   0.00000
 1667.00    0.58753   0.00000
 1668.00    0.58707   0.00000
 1669.00    0.58662   0.00000
 1670.00    0.58616   0.00000
 1671.00    0.58570   0.00000
 1672.00    0.58524   0.00000
 1673.00    0.58479   0.00000
 1674.00    0.58433   0.00000
 1675.00    0.58387   0.00000
 1676.00    0.58342   0.00000
 1677.00    0.58297   0.00000
 1678.00    0.58251   0.00000
 1679.00    0.58206   0.00000
 1680.00    0.58161   0.00000
 1681.00    0.58116   0.00000
 1682.00    0.58071   0.00000
 1683.00    0.58026   0.00000
 1684.00    0.57981   0.00000
 1685.00    0.57936   0.00000
 1686.00    0.57891   0.00000
 1687.00    0.57846   0.00000
 1688.00    0.57802   0.00000
 1689.00    0.57757   0.00000
 1690.00    0.57713   0.00000
 1691.00    0.57668   0.00000
 1692.00    0.57624   0.00000
 1693.00    0.57580   0.00000
 1694.00    0.57535   0.00000
 1695.00    0.57491   0.00000
 1696.00    0.57447   0.00000
 1697.00    0.57403   0.00000
 1698.00    0.57359   0.00000
 1699.00    0.57315   0.00000
 1700.00    0.57271   0.00000
 1701.00    0.57227   0.00000
 1702.00    0.57184   0.00000
 1703.00    0.57140   0.00000
 1704.00    0.57097   0.00000
 1705.00    0.57053   0.00000
 1706.00    0.57010   0.00000
 1707.00    0.56966   0.00000
 1708.00    0.56923   0.00000
 1709.00    0.56880   0.00000
 1710.00    0.56836   0.00000
 1711.00    0.56793   0.00000
 1712.00    0.56750   0.00000
 1713.00    0.56707   0.00000
 1714.00    0.56664   0.00000
 1715.00    0.56622   0.00000
 1716.00    0.56579   0.00000
 1717.00    0.56536   0.00000
 1718.00    0.56493   0.00000
 1719.00    0.56451   0.00000
 1720.00    0.56408   0.00000
 1721.00    0.56366   0.00000
 1722.00    0.56323   0.00000
 1723.00    0.56281   0.00000
 1724.00    0.56239   0.00000
 1725.00    0.56197   0.00000
 1726.00    0.56155   0.00000
 1727.00    0.56112   0.00000
 1728.00    0.56070   0.00000
 1729.00    0.56029   0.00000
 1730.00    0.55987   0.00000
 1731.00    0.55945   0.00000
 1732.00    0.55903   0.00000
 1733.00    0.55861   0.00000
 1734.00    0.55820   0.00000
 1735.00    0.55778   0.00000
 1736.00    0.55737   0.00000
 1737.00    0.55695   0.00000
 1738.00    0.55654   0.00000
 1739.00    0.55613   0.00000
 1740.00    0.55572   0.00000
 1741.00    0.55530   0.00000
 1742.00    0.55489   0.00000
 1743.00    0.55448   0.00000
 1744.00    0.55407   0.00000
 1745.00    0.55367   0.00000
 1746.00    0.55326   0.00000
 1747.00    0.55285   0.00000
 1748.00    0.55244   0.00000
 1749.00    0.55204   0.00000
 1750.00    0.55163   0.00000
 1751.00    0.55123   0.00000
 1752.00    0.55082   0.00000
 1753.00    0.55042   0.00000
 1754.00    0.55001   0.00000
 1755.00    0.54961   0.00000
 1756.00    0.54921   0.00000
 1757.00    0.54881   0.00000
 1758.00    0.54841   0.00000
 1759.00    0.54801   0.00000
 1760.00    0.54761   0.00000
 1761.00    0.54721   0.00000
 1762.00    0.54681   0.00000
 1763.00    0.54641   0.00000
 1764.00    0.54602   0.00000
 1765.00    0.54562   0.00000
 1766.00    0.54523   0.00000
 1767.00    0.54483   0.00000
 1768.00    0.54444   0.00000
 1769.00    0.54404   0.00000
 1770.00    0.54365   0.00000
 1771.00    0.54326   0.00000
 1772.00    0.54287   0.00000
