   W          M5+(pi+_n)
 (MeV)       Re        Im
 1399.00   -0.03756   0.00000
 1400.00   -0.03766   0.00000
 1401.00   -0.03776   0.00000
 1402.00   -0.03785   0.00000
 1403.00   -0.03795   0.00000
 1404.00   -0.03805   0.00000
 1405.00   -0.03815   0.00000
 1406.00   -0.03824   0.00000
 1407.00   -0.03834   0.00000
 1408.00   -0.03844   0.00000
 1409.00   -0.03853   0.00000
 1410.00   -0.03863   0.00000
 1411.00   -0.03872   0.00000
 1412.00   -0.03882   0.00000
 1413.00   -0.03891   0.00000
 1414.00   -0.03901   0.00000
 1415.00   -0.03910   0.00000
 1416.00   -0.03920   0.00000
 1417.00   -0.03929   0.00000
 1418.00   -0.03939   0.00000
 1419.00   -0.03948   0.00000
 1420.00   -0.03957   0.00000
 1421.00   -0.03967   0.00000
 1422.00   -0.03976   0.00000
 1423.00   -0.03985   0.00000
 1424.00   -0.03994   0.00000
 1425.00   -0.04004   0.00000
 1426.00   -0.04013   0.00000
 1427.00   -0.04022   0.00000
 1428.00   -0.04031   0.00000
 1429.00   -0.04040   0.00000
 1430.00   -0.04049   0.00000
 1431.00   -0.04058   0.00000
 1432.00   -0.04067   0.00000
 1433.00   -0.04076   0.00000
 1434.00   -0.04085   0.00000
 1435.00   -0.04094   0.00000
 1436.00   -0.04103   0.00000
 1437.00   -0.04112   0.00000
 1438.00   -0.04121   0.00000
 1439.00   -0.04130   0.00000
 1440.00   -0.04138   0.00000
 1441.00   -0.04147   0.00000
 1442.00   -0.04156   0.00000
 1443.00   -0.04165   0.00000
 1444.00   -0.04174   0.00000
 1445.00   -0.04182   0.00000
 1446.00   -0.04191   0.00000
 1447.00   -0.04200   0.00000
 1448.00   -0.04208   0.00000
 1449.00   -0.04217   0.00000
 1450.00   -0.04225   0.00000
 1451.00   -0.04234   0.00000
 1452.00   -0.04243   0.00000
 1453.00   -0.04251   0.00000
 1454.00   -0.04260   0.00000
 1455.00   -0.04268   0.00000
 1456.00   -0.04277   0.00000
 1457.00   -0.04285   0.00000
 1458.00   -0.04293   0.00000
 1459.00   -0.04302   0.00000
 1460.00   -0.04310   0.00000
 1461.00   -0.04319   0.00000
 1462.00   -0.04327   0.00000
 1463.00   -0.04335   0.00000
 1464.00   -0.04344   0.00000
 1465.00   -0.04352   0.00000
 1466.00   -0.04360   0.00000
 1467.00   -0.04368   0.00000
 1468.00   -0.04377   0.00000
 1469.00   -0.04385   0.00000
 1470.00   -0.04393   0.00000
 1471.00   -0.04401   0.00000
 1472.00   -0.04409   0.00000
 1473.00   -0.04417   0.00000
 1474.00   -0.04425   0.00000
 1475.00   -0.04433   0.00000
 1476.00   -0.04441   0.00000
 1477.00   -0.04449   0.00000
 1478.00   -0.04457   0.00000
 1479.00   -0.04465   0.00000
 1480.00   -0.04473   0.00000
 1481.00   -0.04481   0.00000
 1482.00   -0.04489   0.00000
 1483.00   -0.04497   0.00000
 1484.00   -0.04505   0.00000
 1485.00   -0.04513   0.00000
 1486.00   -0.04521   0.00000
 1487.00   -0.04529   0.00000
 1488.00   -0.04536   0.00000
 1489.00   -0.04544   0.00000
 1490.00   -0.04552   0.00000
 1491.00   -0.04560   0.00000
 1492.00   -0.04568   0.00000
 1493.00   -0.04575   0.00000
 1494.00   -0.04583   0.00000
 1495.00   -0.04591   0.00000
 1496.00   -0.04598   0.00000
 1497.00   -0.04606   0.00000
 1498.00   -0.04614   0.00000
 1499.00   -0.04621   0.00000
 1500.00   -0.04629   0.00000
 1501.00   -0.04636   0.00000
 1502.00   -0.04644   0.00000
 1503.00   -0.04651   0.00000
 1504.00   -0.04659   0.00000
 1505.00   -0.04666   0.00000
 1506.00   -0.04674   0.00000
 1507.00   -0.04681   0.00000
 1508.00   -0.04689   0.00000
 1509.00   -0.04696   0.00000
 1510.00   -0.04704   0.00000
 1511.00   -0.04711   0.00000
 1512.00   -0.04719   0.00000
 1513.00   -0.04726   0.00000
 1514.00   -0.04733   0.00000
 1515.00   -0.04741   0.00000
 1516.00   -0.04748   0.00000
 1517.00   -0.04755   0.00000
 1518.00   -0.04763   0.00000
 1519.00   -0.04770   0.00000
 1520.00   -0.04777   0.00000
 1521.00   -0.04784   0.00000
 1522.00   -0.04792   0.00000
 1523.00   -0.04799   0.00000
 1524.00   -0.04806   0.00000
 1525.00   -0.04813   0.00000
 1526.00   -0.04820   0.00000
 1527.00   -0.04827   0.00000
 1528.00   -0.04835   0.00000
 1529.00   -0.04842   0.00000
 1530.00   -0.04849   0.00000
 1531.00   -0.04856   0.00000
 1532.00   -0.04863   0.00000
 1533.00   -0.04870   0.00000
 1534.00   -0.04877   0.00000
 1535.00   -0.04884   0.00000
 1536.00   -0.04891   0.00000
 1537.00   -0.04898   0.00000
 1538.00   -0.04905   0.00000
 1539.00   -0.04912   0.00000
 1540.00   -0.04919   0.00000
 1541.00   -0.04926   0.00000
 1542.00   -0.04933   0.00000
 1543.00   -0.04940   0.00000
 1544.00   -0.04947   0.00000
 1545.00   -0.04954   0.00000
 1546.00   -0.04961   0.00000
 1547.00   -0.04968   0.00000
 1548.00   -0.04974   0.00000
 1549.00   -0.04981   0.00000
 1550.00   -0.04988   0.00000
 1551.00   -0.04995   0.00000
