   W          M3-(pi+_n)
 (MeV)       Re        Im
 1515.00    0.63823   0.10743
 1516.00    0.64149   0.10935
 1517.00    0.64479   0.11130
 1518.00    0.64811   0.11330
 1519.00    0.65147   0.11533
 1520.00    0.65486   0.11740
 1521.00    0.65828   0.11952
 1522.00    0.66173   0.12168
 1523.00    0.66522   0.12389
 1524.00    0.66874   0.12614
 1525.00    0.67229   0.12844
 1526.00    0.67587   0.13079
 1527.00    0.67949   0.13318
 1528.00    0.68314   0.13563
 1529.00    0.68682   0.13813
 1530.00    0.69054   0.14068
 1531.00    0.69429   0.14328
 1532.00    0.69808   0.14594
 1533.00    0.70190   0.14866
 1534.00    0.70575   0.15143
 1535.00    0.70964   0.15427
 1536.00    0.71356   0.15716
 1537.00    0.71752   0.16012
 1538.00    0.72151   0.16315
 1539.00    0.72554   0.16623
 1540.00    0.72960   0.16939
 1541.00    0.73370   0.17262
 1542.00    0.73784   0.17591
 1543.00    0.74201   0.17928
 1544.00    0.74621   0.18273
 1545.00    0.75045   0.18624
 1546.00    0.75473   0.18984
 1547.00    0.75904   0.19352
 1548.00    0.76338   0.19728
 1549.00    0.76776   0.20112
 1550.00    0.77217   0.20505
 1551.00    0.77662   0.20907
 1552.00    0.78110   0.21318
 1553.00    0.78562   0.21738
 1554.00    0.79017   0.22167
 1555.00    0.79475   0.22606
 1556.00    0.79936   0.23056
 1557.00    0.80401   0.23515
 1558.00    0.80868   0.23985
 1559.00    0.81339   0.24466
 1560.00    0.81812   0.24958
 1561.00    0.82289   0.25461
 1562.00    0.82768   0.25976
 1563.00    0.83250   0.26503
 1564.00    0.83734   0.27042
 1565.00    0.84221   0.27593
 1566.00    0.84710   0.28157
 1567.00    0.85201   0.28735
 1568.00    0.85695   0.29326
 1569.00    0.86190   0.29930
 1570.00    0.86688   0.30549
 1571.00    0.87186   0.31182
 1572.00    0.87687   0.31830
 1573.00    0.88188   0.32493
 1574.00    0.88691   0.33172
 1575.00    0.89194   0.33866
 1576.00    0.89698   0.34577
 1577.00    0.90202   0.35305
 1578.00    0.90707   0.36049
 1579.00    0.91210   0.36811
 1580.00    0.91714   0.37591
 1581.00    0.92216   0.38389
 1582.00    0.92717   0.39206
 1583.00    0.93217   0.40041
 1584.00    0.93714   0.40897
 1585.00    0.94209   0.41772
 1586.00    0.94701   0.42667
 1587.00    0.95190   0.43584
 1588.00    0.95674   0.44521
 1589.00    0.96155   0.45480
 1590.00    0.96631   0.46461
 1591.00    0.97101   0.47465
 1592.00    0.97565   0.48491
 1593.00    0.98023   0.49541
 1594.00    0.98473   0.50615
 1595.00    0.98915   0.51713
 1596.00    0.99349   0.52835
 1597.00    0.99773   0.53982
 1598.00    1.00186   0.55155
 1599.00    1.00588   0.56353
 1600.00    1.00978   0.57577
 1601.00    1.01355   0.58828
 1602.00    1.01718   0.60105
 1603.00    1.02066   0.61409
 1604.00    1.02398   0.62741
 1605.00    1.02713   0.64100
 1606.00    1.03010   0.65487
 1607.00    1.03287   0.66901
 1608.00    1.03543   0.68344
 1609.00    1.03778   0.69815
 1610.00    1.03989   0.71314
 1611.00    1.04175   0.72841
 1612.00    1.04336   0.74397
 1613.00    1.04469   0.75980
 1614.00    1.04573   0.77592
 1615.00    1.04646   0.79231
 1616.00    1.04688   0.80897
 1617.00    1.04696   0.82591
 1618.00    1.04669   0.84311
 1619.00    1.04604   0.86056
 1620.00    1.04501   0.87828
 1621.00    1.04358   0.89624
 1622.00    1.04173   0.91444
 1623.00    1.03944   0.93286
 1624.00    1.03669   0.95151
 1625.00    1.03348   0.97036
 1626.00    1.02977   0.98941
 1627.00    1.02555   1.00864
 1628.00    1.02081   1.02804
 1629.00    1.01553   1.04759
 1630.00    1.00969   1.06726
 1631.00    1.00328   1.08706
 1632.00    0.99627   1.10695
 1633.00    0.98867   1.12690
 1634.00    0.98044   1.14691
 1635.00    0.97159   1.16695
 1636.00    0.96209   1.18699
 1637.00    0.95193   1.20699
 1638.00    0.94112   1.22695
 1639.00    0.92963   1.24682
 1640.00    0.91746   1.26658
 1641.00    0.90460   1.28620
 1642.00    0.89106   1.30564
 1643.00    0.87682   1.32487
 1644.00    0.86190   1.34386
 1645.00    0.84628   1.36258
 1646.00    0.82998   1.38098
 1647.00    0.81300   1.39904
 1648.00    0.79536   1.41672
 1649.00    0.77705   1.43399
 1650.00    0.75810   1.45081
 1651.00    0.73851   1.46715
 1652.00    0.71832   1.48297
 1653.00    0.69752   1.49824
 1654.00    0.67616   1.51293
 1655.00    0.65425   1.52700
 1656.00    0.63182   1.54044
 1657.00    0.60890   1.55321
 1658.00    0.58551   1.56528
 1659.00    0.56170   1.57664
 1660.00    0.53748   1.58725
 1661.00    0.51291   1.59710
 1662.00    0.48801   1.60617
 1663.00    0.46283   1.61445
 1664.00    0.43740   1.62192
 1665.00    0.41175   1.62857
 1666.00    0.38595   1.63439
 1667.00    0.36001   1.63939
 1668.00    0.33398   1.64354
 1669.00    0.30791   1.64687
 1670.00    0.28183   1.64936
 1671.00    0.25578   1.65103
 1672.00    0.22980   1.65187
 1673.00    0.20394   1.65191
 1674.00    0.17822   1.65115
 1675.00    0.15267   1.64960
 1676.00    0.12735   1.64729
 1677.00    0.10228   1.64422
 1678.00    0.07748   1.64043
 1679.00    0.05300   1.63593
 1680.00    0.02885   1.63074
 1681.00    0.00507   1.62489
 1682.00   -0.01833   1.61840
 1683.00   -0.04131   1.61130
 1684.00   -0.06387   1.60362
 1685.00   -0.08597   1.59538
 1686.00   -0.10761   1.58662
 1687.00   -0.12877   1.57735
 1688.00   -0.14943   1.56761
 1689.00   -0.16960   1.55743
 1690.00   -0.18925   1.54683
 1691.00   -0.20838   1.53584
 1692.00   -0.22698   1.52450
 1693.00   -0.24506   1.51282
 1694.00   -0.26260   1.50084
 1695.00   -0.27961   1.48858
 1696.00   -0.29609   1.47606
 1697.00   -0.31203   1.46332
 1698.00   -0.32745   1.45037
 1699.00   -0.34234   1.43724
 1700.00   -0.35671   1.42395
 1701.00   -0.37057   1.41053
 1702.00   -0.38392   1.39699
 1703.00   -0.39677   1.38335
 1704.00   -0.40912   1.36964
 1705.00   -0.42100   1.35586
 1706.00   -0.43239   1.34205
 1707.00   -0.44333   1.32820
 1708.00   -0.45380   1.31435
 1709.00   -0.46383   1.30050
 1710.00   -0.47343   1.28666
 1711.00   -0.48260   1.27286
 1712.00   -0.49136   1.25910
 1713.00   -0.49972   1.24539
 1714.00   -0.50768   1.23174
 1715.00   -0.51527   1.21817
 1716.00   -0.52249   1.20467
 1717.00   -0.52935   1.19127
 1718.00   -0.53586   1.17796
 1719.00   -0.54203   1.16476
 1720.00   -0.54788   1.15166
 1721.00   -0.55342   1.13869
 1722.00   -0.55865   1.12583
 1723.00   -0.56359   1.11310
 1724.00   -0.56824   1.10050
 1725.00   -0.57262   1.08803
 1726.00   -0.57674   1.07570
 1727.00   -0.58060   1.06350
 1728.00   -0.58422   1.05145
 1729.00   -0.58760   1.03955
 1730.00   -0.59075   1.02778
