   W          M2-(pi+_n)
 (MeV)       Re        Im
 1450.00    1.31633   0.00000
 1451.00    1.31701   0.00000
 1452.00    1.31770   0.00000
 1453.00    1.31838   0.00000
 1454.00    1.31905   0.00000
 1455.00    1.31973   0.00000
 1456.00    1.32039   0.00000
 1457.00    1.32106   0.00000
 1458.00    1.32172   0.00000
 1459.00    1.32238   0.00000
 1460.00    1.32303   0.00000
 1461.00    1.32368   0.00000
 1462.00    1.32432   0.00000
 1463.00    1.32497   0.00000
 1464.00    1.32561   0.00000
 1465.00    1.32624   0.00000
 1466.00    1.32687   0.00000
 1467.00    1.32750   0.00000
 1468.00    1.32812   0.00000
 1469.00    1.32874   0.00000
 1470.00    1.32936   0.00000
 1471.00    1.32998   0.00000
 1472.00    1.33059   0.00000
 1473.00    1.33119   0.00000
 1474.00    1.33180   0.00000
 1475.00    1.33239   0.00000
 1476.00    1.33299   0.00000
 1477.00    1.33358   0.00000
 1478.00    1.33417   0.00000
 1479.00    1.33476   0.00000
 1480.00    1.33534   0.00000
 1481.00    1.33592   0.00000
 1482.00    1.33650   0.00000
 1483.00    1.33707   0.00000
 1484.00    1.33764   0.00000
 1485.00    1.33821   0.00000
 1486.00    1.33877   0.00000
 1487.00    1.33933   0.00000
 1488.00    1.33988   0.00000
 1489.00    1.34044   0.00000
 1490.00    1.34099   0.00000
 1491.00    1.34153   0.00000
 1492.00    1.34208   0.00000
 1493.00    1.34262   0.00000
 1494.00    1.34316   0.00000
 1495.00    1.34369   0.00000
 1496.00    1.34422   0.00000
 1497.00    1.34475   0.00000
 1498.00    1.34527   0.00000
 1499.00    1.34580   0.00000
 1500.00    1.34632   0.00000
 1501.00    1.34683   0.00000
 1502.00    1.34734   0.00000
 1503.00    1.34785   0.00000
 1504.00    1.34836   0.00000
 1505.00    1.34886   0.00000
 1506.00    1.34937   0.00000
 1507.00    1.34986   0.00000
 1508.00    1.35036   0.00000
 1509.00    1.35085   0.00000
 1510.00    1.35134   0.00000
 1511.00    1.35183   0.00000
 1512.00    1.35231   0.00000
 1513.00    1.35279   0.00000
 1514.00    1.35327   0.00000
 1515.00    1.35374   0.00000
 1516.00    1.35421   0.00000
 1517.00    1.35468   0.00000
 1518.00    1.35515   0.00000
 1519.00    1.35561   0.00000
 1520.00    1.35607   0.00000
 1521.00    1.35653   0.00000
 1522.00    1.35699   0.00000
 1523.00    1.35744   0.00000
 1524.00    1.35789   0.00000
 1525.00    1.35834   0.00000
 1526.00    1.35878   0.00000
 1527.00    1.35922   0.00000
 1528.00    1.35966   0.00000
 1529.00    1.36010   0.00000
 1530.00    1.36053   0.00000
 1531.00    1.36096   0.00000
 1532.00    1.36139   0.00000
