   W         E8+(pi+_n)
 (MeV)      Re         Im
 1395.0    0.010767  -0.000585
 1396.0    0.010798  -0.000587
 1397.0    0.010830  -0.000588
 1398.0    0.010861  -0.000590
 1399.0    0.010892  -0.000592
 1400.0    0.010923  -0.000594
 1401.0    0.010954  -0.000595
 1402.0    0.010984  -0.000597
 1403.0    0.011015  -0.000598
 1404.0    0.011045  -0.000600
 1405.0    0.011076  -0.000602
 1406.0    0.011106  -0.000603
 1407.0    0.011135  -0.000605
 1408.0    0.011165  -0.000607
 1409.0    0.011195  -0.000608
 1410.0    0.011225  -0.000610
 1411.0    0.011254  -0.000611
 1412.0    0.011283  -0.000613
 1413.0    0.011312  -0.000615
 1414.0    0.011341  -0.000616
 1415.0    0.011370  -0.000618
 1416.0    0.011398  -0.000619
 1417.0    0.011426  -0.000621
 1418.0    0.011454  -0.000622
 1419.0    0.011482  -0.000624
 1420.0    0.011511  -0.000625
 1421.0    0.011538  -0.000627
 1422.0    0.011566  -0.000628
 1423.0    0.011593  -0.000630
 1424.0    0.011621  -0.000631
 1425.0    0.011648  -0.000633
 1426.0    0.011675  -0.000634
 1427.0    0.011702  -0.000636
 1428.0    0.011728  -0.000637
 1429.0    0.011755  -0.000639
 1430.0    0.011782  -0.000640
 1431.0    0.011808  -0.000642
 1432.0    0.011834  -0.000643
 1433.0    0.011860  -0.000644
 1434.0    0.011886  -0.000646
 1435.0    0.011912  -0.000647
 1436.0    0.011937  -0.000649
 1437.0    0.011963  -0.000650
 1438.0    0.011988  -0.000651
 1439.0    0.012013  -0.000653
 1440.0    0.012038  -0.000654
 1441.0    0.012063  -0.000656
 1442.0    0.012088  -0.000657
 1443.0    0.012112  -0.000658
 1444.0    0.012137  -0.000660
 1445.0    0.012161  -0.000661
 1446.0    0.012185  -0.000662
 1447.0    0.012209  -0.000663
 1448.0    0.012233  -0.000665
 1449.0    0.012257  -0.000666
 1450.0    0.012281  -0.000667
 1451.0    0.012304  -0.000669
 1452.0    0.012327  -0.000670
 1453.0    0.012350  -0.000671
 1454.0    0.012373  -0.000672
 1455.0    0.012397  -0.000674
 1456.0    0.012419  -0.000675
 1457.0    0.012442  -0.000676
 1458.0    0.012464  -0.000677
 1459.0    0.012487  -0.000679
 1460.0    0.012509  -0.000680
 1461.0    0.012531  -0.000681
 1462.0    0.012553  -0.000682
 1463.0    0.012575  -0.000683
 1464.0    0.012597  -0.000685
 1465.0    0.012618  -0.000686
 1466.0    0.012640  -0.000687
 1467.0    0.012661  -0.000688
 1468.0    0.012682  -0.000689
 1469.0    0.012703  -0.000690
 1470.0    0.012724  -0.000692
 1471.0    0.012745  -0.000693
 1472.0    0.012765  -0.000694
 1473.0    0.012786  -0.000695
 1474.0    0.012806  -0.000696
 1475.0    0.012827  -0.000697
 1476.0    0.012847  -0.000698
 1477.0    0.012866  -0.000699
 1478.0    0.012886  -0.000700
 1479.0    0.012906  -0.000701
 1480.0    0.012926  -0.000703
 1481.0    0.012945  -0.000704
 1482.0    0.012965  -0.000705
 1483.0    0.012984  -0.000706
 1484.0    0.013003  -0.000707
 1485.0    0.013022  -0.000708
 1486.0    0.013041  -0.000709
 1487.0    0.013059  -0.000710
 1488.0    0.013078  -0.000711
 1489.0    0.013097  -0.000712
 1490.0    0.013115  -0.000713
 1491.0    0.013133  -0.000714
 1492.0    0.013151  -0.000715
 1493.0    0.013169  -0.000716
 1494.0    0.013187  -0.000717
 1495.0    0.013205  -0.000718
 1496.0    0.013223  -0.000719
 1497.0    0.013240  -0.000720
 1498.0    0.013257  -0.000721
 1499.0    0.013275  -0.000721
 1500.0    0.013292  -0.000722
 1501.0    0.013309  -0.000723
 1502.0    0.013325  -0.000724
 1503.0    0.013341  -0.000724
 1504.0    0.013358  -0.000725
 1505.0    0.013374  -0.000725
 1506.0    0.013391  -0.000726
 1507.0    0.013407  -0.000728
 1508.0    0.013424  -0.000729
 1509.0    0.013441  -0.000730
 1510.0    0.013458  -0.000732
 1511.0    0.013473  -0.000732
 1512.0    0.013489  -0.000733
 1513.0    0.013504  -0.000734
 1514.0    0.013520  -0.000735
 1515.0    0.013536  -0.000736
 1516.0    0.013551  -0.000737
 1517.0    0.013566  -0.000737
 1518.0    0.013581  -0.000738
 1519.0    0.013596  -0.000739
 1520.0    0.013611  -0.000740
 1521.0    0.013626  -0.000741
 1522.0    0.013640  -0.000742
 1523.0    0.013655  -0.000742
 1524.0    0.013669  -0.000743
 1525.0    0.013684  -0.000744
 1526.0    0.013698  -0.000745
 1527.0    0.013712  -0.000745
 1528.0    0.013726  -0.000746
 1529.0    0.013740  -0.000747
 1530.0    0.013754  -0.000748
 1531.0    0.013767  -0.000748
 1532.0    0.013781  -0.000749
 1533.0    0.013794  -0.000750
 1534.0    0.013808  -0.000751
 1535.0    0.013821  -0.000751
 1536.0    0.013834  -0.000752
 1537.0    0.013847  -0.000753
 1538.0    0.013860  -0.000754
 1539.0    0.013873  -0.000754
 1540.0    0.013886  -0.000755
 1541.0    0.013899  -0.000756
 1542.0    0.013911  -0.000756
 1543.0    0.013924  -0.000757
 1544.0    0.013936  -0.000758
 1545.0    0.013948  -0.000758
 1546.0    0.013960  -0.000759
 1547.0    0.013972  -0.000760
 1548.0    0.013984  -0.000760
 1549.0    0.013996  -0.000761
 1550.0    0.014008  -0.000762
 1551.0    0.014020  -0.000762
 1552.0    0.014031  -0.000763
 1553.0    0.014043  -0.000763
 1554.0    0.014054  -0.000764
 1555.0    0.014066  -0.000765
 1556.0    0.014077  -0.000765
 1557.0    0.014088  -0.000766
 1558.0    0.014099  -0.000767
 1559.0    0.014110  -0.000767
 1560.0    0.014121  -0.000768
 1561.0    0.014131  -0.000768
 1562.0    0.014142  -0.000769
 1563.0    0.014152  -0.000769
 1564.0    0.014163  -0.000770
 1565.0    0.014173  -0.000771
 1566.0    0.014183  -0.000771
 1567.0    0.014193  -0.000772
 1568.0    0.014203  -0.000772
 1569.0    0.014214  -0.000773
 1570.0    0.014224  -0.000773
 1571.0    0.014233  -0.000774
 1572.0    0.014243  -0.000774
 1573.0    0.014252  -0.000775
 1574.0    0.014262  -0.000775
 1575.0    0.014272  -0.000776
 1576.0    0.014281  -0.000777
 1577.0    0.014290  -0.000777
 1578.0    0.014299  -0.000778
 1579.0    0.014308  -0.000778
 1580.0    0.014318  -0.000779
 1581.0    0.014326  -0.000779
 1582.0    0.014335  -0.000779
 1583.0    0.014344  -0.000780
 1584.0    0.014353  -0.000780
 1585.0    0.014361  -0.000781
 1586.0    0.014370  -0.000781
 1587.0    0.014378  -0.000782
 1588.0    0.014386  -0.000782
 1589.0    0.014395  -0.000783
 1590.0    0.014403  -0.000783
 1591.0    0.014411  -0.000784
 1592.0    0.014419  -0.000784
 1593.0    0.014427  -0.000784
 1594.0    0.014435  -0.000785
 1595.0    0.014443  -0.000785
 1596.0    0.014450  -0.000786
 1597.0    0.014458  -0.000786
 1598.0    0.014465  -0.000787
 1599.0    0.014473  -0.000787
 1600.0    0.014480  -0.000787
 1601.0    0.014487  -0.000788
 1602.0    0.014495  -0.000788
 1603.0    0.014502  -0.000789
 1604.0    0.014509  -0.000789
 1605.0    0.014516  -0.000789
 1606.0    0.014523  -0.000790
 1607.0    0.014529  -0.000790
 1608.0    0.014536  -0.000790
 1609.0    0.014543  -0.000791
 1610.0    0.014550  -0.000791
 1611.0    0.014556  -0.000791
 1612.0    0.014562  -0.000792
 1613.0    0.014569  -0.000792
 1614.0    0.014575  -0.000793
 1615.0    0.014581  -0.000793
 1616.0    0.014587  -0.000793
 1617.0    0.014593  -0.000794
 1618.0    0.014599  -0.000794
 1619.0    0.014605  -0.000794
 1620.0    0.014611  -0.000794
 1621.0    0.014617  -0.000795
 1622.0    0.014623  -0.000795
 1623.0    0.014628  -0.000795
 1624.0    0.014634  -0.000796
 1625.0    0.014640  -0.000796
 1626.0    0.014645  -0.000796
 1627.0    0.014650  -0.000797
 1628.0    0.014656  -0.000797
 1629.0    0.014661  -0.000797
 1630.0    0.014666  -0.000797
 1631.0    0.014671  -0.000798
 1632.0    0.014676  -0.000798
 1633.0    0.014681  -0.000798
 1634.0    0.014686  -0.000798
 1635.0    0.014691  -0.000799
 1636.0    0.014696  -0.000799
 1637.0    0.014700  -0.000799
 1638.0    0.014705  -0.000799
 1639.0    0.014709  -0.000800
 1640.0    0.014714  -0.000800
 1641.0    0.014718  -0.000800
 1642.0    0.014723  -0.000800
 1643.0    0.014727  -0.000801
 1644.0    0.014731  -0.000801
 1645.0    0.014735  -0.000801
 1646.0    0.014739  -0.000801
