kinematics for pion photoproduction at threshold

   qcm  Wcm(n+)  Elab(n+) Wcm(p0)  Elab(p0) Wcm(p-)  Elab(p-) Wcm(n0)  Elab(n0)
   24.00  1081.49   154.15  1075.67   147.46  1080.20   151.16  1076.97   147.45
   25.00  1081.69   154.38  1075.88   147.70  1080.40   151.39  1077.17   147.68
   26.00  1081.90   154.62  1076.09   147.94  1080.60   151.62  1077.38   147.92
   27.00  1082.11   154.86  1076.31   148.19  1080.82   151.87  1077.60   148.18
   28.00  1082.33   155.12  1076.54   148.46  1081.04   152.13  1077.83   148.44
   29.00  1082.56   155.39  1076.78   148.73  1081.27   152.39  1078.07   148.71
   30.00  1082.80   155.66  1077.02   149.01  1081.51   152.67  1078.31   148.99
   31.00  1083.05   155.95  1077.27   149.30  1081.76   152.95  1078.57   149.28
   32.00  1083.30   156.24  1077.54   149.60  1082.01   153.24  1078.83   149.58
   33.00  1083.56   156.54  1077.80   149.91  1082.27   153.54  1079.10   149.89
   34.00  1083.83   156.85  1078.08   150.22  1082.54   153.85  1079.37   150.21
   35.00  1084.11   157.17  1078.36   150.55  1082.82   154.17  1079.66   150.54
   36.00  1084.39   157.50  1078.66   150.89  1083.10   154.50  1079.95   150.87
   37.00  1084.68   157.84  1078.96   151.23  1083.39   154.84  1080.25   151.22
   38.00  1084.98   158.18  1079.26   151.59  1083.69   155.18  1080.56   151.57
   39.00  1085.29   158.54  1079.58   151.95  1084.00   155.53  1080.87   151.93
   40.00  1085.61   158.90  1079.90   152.32  1084.31   155.90  1081.19   152.30
   41.00  1085.93   159.27  1080.23   152.70  1084.64   156.27  1081.53   152.68
   42.00  1086.26   159.65  1080.57   153.09  1084.96   156.65  1081.86   153.07
   43.00  1086.59   160.04  1080.92   153.49  1085.30   157.04  1082.21   153.47
   44.00  1086.94   160.44  1081.27   153.89  1085.64   157.43  1082.56   153.88
   45.00  1087.29   160.85  1081.63   154.31  1086.00   157.84  1082.92   154.29
   46.00  1087.65   161.26  1082.00   154.73  1086.35   158.26  1083.29   154.72
   47.00  1088.01   161.69  1082.37   155.17  1086.72   158.68  1083.67   155.15
   48.00  1088.38   162.12  1082.76   155.61  1087.09   159.11  1084.05   155.59
   49.00  1088.76   162.56  1083.15   156.06  1087.47   159.55  1084.44   156.04
   50.00  1089.15   163.01  1083.54   156.52  1087.86   160.00  1084.83   156.50
   51.00  1089.54   163.47  1083.95   156.98  1088.25   160.45  1085.24   156.97
   52.00  1089.95   163.93  1084.36   157.46  1088.65   160.92  1085.65   157.44
   53.00  1090.35   164.41  1084.78   157.94  1089.06   161.39  1086.07   157.92
