   W         M3-(eta_p)
 (MeV)      Re         Im
 1754.0    0.153603  -0.116574
 1755.0    0.154802  -0.115159
 1756.0    0.155861  -0.113759
 1757.0    0.156919  -0.112360
 1758.0    0.157978  -0.110960
 1759.0    0.159036  -0.109561
 1760.0    0.160095  -0.108161
 1761.0    0.161032  -0.106787
 1762.0    0.161968  -0.105412
 1763.0    0.162905  -0.104037
 1764.0    0.163841  -0.102663
 1765.0    0.164778  -0.101288
 1766.0    0.165609  -0.099942
 1767.0    0.166440  -0.098596
 1768.0    0.167271  -0.097250
 1769.0    0.168102  -0.095905
 1770.0    0.168933  -0.094559
 1771.0    0.169673  -0.093245
 1772.0    0.170412  -0.091930
 1773.0    0.171152  -0.090616
 1774.0    0.171892  -0.089302
 1775.0    0.172631  -0.087988
 1776.0    0.173292  -0.086706
 1777.0    0.173953  -0.085424
 1778.0    0.174613  -0.084142
 1779.0    0.175274  -0.082860
 1780.0    0.175934  -0.081579
 1781.0    0.176526  -0.080329
 1782.0    0.177119  -0.079078
 1783.0    0.177711  -0.077828
 1784.0    0.178303  -0.076578
 1785.0    0.178895  -0.075328
 1786.0    0.179428  -0.074108
 1787.0    0.179960  -0.072888
 1788.0    0.180493  -0.071669
 1789.0    0.181025  -0.070449
 1790.0    0.181558  -0.069229
 1791.0    0.182038  -0.068037
 1792.0    0.182519  -0.066846
 1793.0    0.182999  -0.065654
 1794.0    0.183480  -0.064462
 1795.0    0.183961  -0.063271
 1796.0    0.184395  -0.062105
 1797.0    0.184830  -0.060939
 1798.0    0.185265  -0.059773
 1799.0    0.185700  -0.058608
 1800.0    0.186134  -0.057442
 1801.0    0.186529  -0.056300
 1802.0    0.186923  -0.055158
 1803.0    0.187318  -0.054016
 1804.0    0.187712  -0.052874
 1805.0    0.188106  -0.051732
 1806.0    0.188466  -0.050615
 1807.0    0.188825  -0.049499
 1808.0    0.189184  -0.048383
 1809.0    0.189543  -0.047267
 1810.0    0.189902  -0.046150
 1811.0    0.190225  -0.045040
 1812.0    0.190549  -0.043930
 1813.0    0.190872  -0.042819
 1814.0    0.191196  -0.041709
 1815.0    0.191519  -0.040599
 1816.0    0.191814  -0.039511
 1817.0    0.192109  -0.038424
 1818.0    0.192404  -0.037337
 1819.0    0.192699  -0.036250
 1820.0    0.192994  -0.035163
 1821.0    0.193261  -0.034088
 1822.0    0.193528  -0.033013
 1823.0    0.193794  -0.031939
 1824.0    0.194061  -0.030864
 1825.0    0.194328  -0.029789
 1826.0    0.194569  -0.028726
 1827.0    0.194809  -0.027662
 1828.0    0.195049  -0.026598
 1829.0    0.195290  -0.025534
 1830.0    0.195530  -0.024471
 1831.0    0.195745  -0.023416
 1832.0    0.195960  -0.022361
 1833.0    0.196176  -0.021306
