   W         E3+(eta_p)
 (MeV)      Re         Im
 1760.0    0.002481   0.005380
 1761.0    0.002483   0.005424
 1762.0    0.002484   0.005468
 1763.0    0.002486   0.005512
 1764.0    0.002487   0.005556
 1765.0    0.002489   0.005600
 1766.0    0.002489   0.005646
 1767.0    0.002490   0.005691
 1768.0    0.002490   0.005736
 1769.0    0.002491   0.005781
 1770.0    0.002491   0.005826
 1771.0    0.002491   0.005872
 1772.0    0.002491   0.005918
 1773.0    0.002490   0.005964
 1774.0    0.002490   0.006010
 1775.0    0.002489   0.006056
 1776.0    0.002488   0.006103
 1777.0    0.002487   0.006150
 1778.0    0.002485   0.006197
 1779.0    0.002484   0.006244
 1780.0    0.002483   0.006291
 1781.0    0.002480   0.006339
 1782.0    0.002478   0.006387
 1783.0    0.002475   0.006436
 1784.0    0.002473   0.006484
 1785.0    0.002471   0.006532
 1786.0    0.002467   0.006581
 1787.0    0.002464   0.006630
 1788.0    0.002460   0.006679
 1789.0    0.002457   0.006728
 1790.0    0.002453   0.006777
 1791.0    0.002449   0.006827
 1792.0    0.002444   0.006878
 1793.0    0.002440   0.006928
 1794.0    0.002435   0.006978
 1795.0    0.002430   0.007028
 1796.0    0.002425   0.007080
 1797.0    0.002419   0.007131
 1798.0    0.002413   0.007182
 1799.0    0.002407   0.007234
 1800.0    0.002401   0.007285
 1801.0    0.002394   0.007338
 1802.0    0.002387   0.007390
 1803.0    0.002380   0.007443
 1804.0    0.002373   0.007496
 1805.0    0.002366   0.007548
 1806.0    0.002357   0.007602
 1807.0    0.002348   0.007656
 1808.0    0.002340   0.007710
 1809.0    0.002331   0.007763
 1810.0    0.002323   0.007817
 1811.0    0.002313   0.007872
 1812.0    0.002303   0.007928
 1813.0    0.002293   0.007983
 1814.0    0.002283   0.008038
 1815.0    0.002273   0.008093
 1816.0    0.002261   0.008150
 1817.0    0.002249   0.008206
 1818.0    0.002237   0.008263
 1819.0    0.002226   0.008319
 1820.0    0.002214   0.008376
 1821.0    0.002200   0.008434
 1822.0    0.002187   0.008492
 1823.0    0.002173   0.008550
 1824.0    0.002160   0.008608
 1825.0    0.002146   0.008666
 1826.0    0.002131   0.008725
 1827.0    0.002115   0.008785
 1828.0    0.002099   0.008844
 1829.0    0.002084   0.008904
 1830.0    0.002068   0.008963
 1831.0    0.002050   0.009024
