   W         M1-(pi+_n)
 (MeV)      Re      Im
 1516.0    0.621   1.652
 1517.0    0.608   1.643
 1518.0    0.594   1.635
 1519.0    0.581   1.627
 1520.0    0.568   1.618
 1521.0    0.555   1.610
 1522.0    0.541   1.602
 1523.0    0.528   1.594
 1524.0    0.514   1.586
 1525.0    0.501   1.578
 1526.0    0.488   1.571
 1527.0    0.474   1.563
 1528.0    0.461   1.555
 1529.0    0.448   1.548
 1530.0    0.435   1.540
 1531.0    0.423   1.533
 1532.0    0.410   1.526
 1533.0    0.398   1.518
 1534.0    0.386   1.511
 1535.0    0.373   1.504
 1536.0    0.361   1.497
 1537.0    0.349   1.490
 1538.0    0.337   1.483
 1539.0    0.325   1.476
 1540.0    0.313   1.470
 1541.0    0.301   1.463
 1542.0    0.289   1.456
 1543.0    0.277   1.450
 1544.0    0.265   1.443
 1545.0    0.253   1.437
 1546.0    0.242   1.431
 1547.0    0.230   1.425
 1548.0    0.218   1.419
 1549.0    0.206   1.412
 1550.0    0.194   1.407
 1551.0    0.182   1.401
 1552.0    0.171   1.395
 1553.0    0.159   1.389
 1554.0    0.147   1.383
 1555.0    0.135   1.378
 1556.0    0.124   1.372
 1557.0    0.112   1.367
 1558.0    0.101   1.361
 1559.0    0.089   1.356
 1560.0    0.078   1.351
 1561.0    0.067   1.346
 1562.0    0.055   1.340
 1563.0    0.044   1.335
 1564.0    0.033   1.330
 1565.0    0.022   1.325
 1566.0    0.011   1.321
 1567.0    0.000   1.316
 1568.0   -0.011   1.311
 1569.0   -0.022   1.306
 1570.0   -0.034   1.302
 1571.0   -0.045   1.297
 1572.0   -0.056   1.293
 1573.0   -0.067   1.288
 1574.0   -0.078   1.284
 1575.0   -0.090   1.280
 1576.0   -0.101   1.275
 1577.0   -0.112   1.271
 1578.0   -0.123   1.267
 1579.0   -0.134   1.263
 1580.0   -0.145   1.259
 1581.0   -0.156   1.255
 1582.0   -0.167   1.251
 1583.0   -0.178   1.248
 1584.0   -0.189   1.244
 1585.0   -0.200   1.240
 1586.0   -0.210   1.236
 1587.0   -0.221   1.233
 1588.0   -0.232   1.229
 1589.0   -0.243   1.226
 1590.0   -0.253   1.222
 1591.0   -0.264   1.219
 1592.0   -0.275   1.216
 1593.0   -0.286   1.213
 1594.0   -0.296   1.209
 1595.0   -0.307   1.206
 1596.0   -0.318   1.203
 1597.0   -0.329   1.200
 1598.0   -0.339   1.197
 1599.0   -0.350   1.194
 1600.0   -0.361   1.191
 1601.0   -0.372   1.189
 1602.0   -0.383   1.186
 1603.0   -0.394   1.184
 1604.0   -0.405   1.181
 1605.0   -0.416   1.179
 1606.0   -0.427   1.176
 1607.0   -0.438   1.174
 1608.0   -0.449   1.171
 1609.0   -0.460   1.169
 1610.0   -0.471   1.167
 1611.0   -0.482   1.164
 1612.0   -0.493   1.162
 1613.0   -0.503   1.160
 1614.0   -0.514   1.157
 1615.0   -0.524   1.155
 1616.0   -0.535   1.153
 1617.0   -0.545   1.151
 1618.0   -0.556   1.149
 1619.0   -0.566   1.147
 1620.0   -0.577   1.145
 1621.0   -0.587   1.143
 1622.0   -0.597   1.141
 1623.0   -0.607   1.139
 1624.0   -0.618   1.137
 1625.0   -0.628   1.135
 1626.0   -0.638   1.133
 1627.0   -0.648   1.131
 1628.0   -0.658   1.129
 1629.0   -0.668   1.127
 1630.0   -0.678   1.125
 1631.0   -0.688   1.124
 1632.0   -0.697   1.122
 1633.0   -0.707   1.120
 1634.0   -0.717   1.118
 1635.0   -0.727   1.116
 1636.0   -0.736   1.114
 1637.0   -0.746   1.112
 1638.0   -0.755   1.110
 1639.0   -0.765   1.109
 1640.0   -0.774   1.107
 1641.0   -0.784   1.105
 1642.0   -0.793   1.103
 1643.0   -0.802   1.102
 1644.0   -0.812   1.100
 1645.0   -0.821   1.098
 1646.0   -0.830   1.097
 1647.0   -0.839   1.095
 1648.0   -0.849   1.093
 1649.0   -0.858   1.092
 1650.0   -0.867   1.090
 1651.0   -0.876   1.088
 1652.0   -0.885   1.087
 1653.0   -0.893   1.085
 1654.0   -0.902   1.083
 1655.0   -0.910   1.081
 1656.0   -0.919   1.079
 1657.0   -0.927   1.077
 1658.0   -0.936   1.076
 1659.0   -0.944   1.074
 1660.0   -0.952   1.072
