   W          M6+(pi+_n)
 (MeV)       Re        Im
 1379.00   -0.01547   0.00000
 1380.00   -0.01553   0.00000
 1381.00   -0.01558   0.00000
 1382.00   -0.01564   0.00000
 1383.00   -0.01569   0.00000
 1384.00   -0.01574   0.00000
 1385.00   -0.01580   0.00000
 1386.00   -0.01585   0.00000
 1387.00   -0.01590   0.00000
 1388.00   -0.01595   0.00000
 1389.00   -0.01601   0.00000
 1390.00   -0.01606   0.00000
 1391.00   -0.01611   0.00000
 1392.00   -0.01616   0.00000
 1393.00   -0.01622   0.00000
 1394.00   -0.01627   0.00000
 1395.00   -0.01632   0.00000
 1396.00   -0.01637   0.00000
 1397.00   -0.01642   0.00000
 1398.00   -0.01647   0.00000
 1399.00   -0.01652   0.00000
 1400.00   -0.01658   0.00000
 1401.00   -0.01663   0.00000
 1402.00   -0.01668   0.00000
 1403.00   -0.01673   0.00000
 1404.00   -0.01678   0.00000
 1405.00   -0.01683   0.00000
 1406.00   -0.01688   0.00000
 1407.00   -0.01693   0.00000
 1408.00   -0.01698   0.00000
 1409.00   -0.01703   0.00000
 1410.00   -0.01708   0.00000
 1411.00   -0.01713   0.00000
 1412.00   -0.01717   0.00000
 1413.00   -0.01722   0.00000
 1414.00   -0.01727   0.00000
 1415.00   -0.01732   0.00000
 1416.00   -0.01737   0.00000
 1417.00   -0.01742   0.00000
 1418.00   -0.01747   0.00000
 1419.00   -0.01751   0.00000
 1420.00   -0.01756   0.00000
 1421.00   -0.01761   0.00000
 1422.00   -0.01766   0.00000
 1423.00   -0.01770   0.00000
 1424.00   -0.01775   0.00000
 1425.00   -0.01780   0.00000
 1426.00   -0.01785   0.00000
 1427.00   -0.01789   0.00000
 1428.00   -0.01794   0.00000
 1429.00   -0.01799   0.00000
 1430.00   -0.01803   0.00000
 1431.00   -0.01808   0.00000
 1432.00   -0.01812   0.00000
 1433.00   -0.01817   0.00000
 1434.00   -0.01822   0.00000
 1435.00   -0.01826   0.00000
 1436.00   -0.01831   0.00000
 1437.00   -0.01835   0.00000
 1438.00   -0.01840   0.00000
 1439.00   -0.01844   0.00000
 1440.00   -0.01849   0.00000
 1441.00   -0.01853   0.00000
 1442.00   -0.01858   0.00000
 1443.00   -0.01862   0.00000
 1444.00   -0.01866   0.00000
 1445.00   -0.01871   0.00000
 1446.00   -0.01875   0.00000
 1447.00   -0.01880   0.00000
 1448.00   -0.01884   0.00000
 1449.00   -0.01888   0.00000
 1450.00   -0.01893   0.00000
 1451.00   -0.01897   0.00000
 1452.00   -0.01901   0.00000
 1453.00   -0.01906   0.00000
 1454.00   -0.01910   0.00000
 1455.00   -0.01914   0.00000
 1456.00   -0.01918   0.00000
 1457.00   -0.01923   0.00000
 1458.00   -0.01927   0.00000
 1459.00   -0.01931   0.00000
 1460.00   -0.01935   0.00000
 1461.00   -0.01939   0.00000
 1462.00   -0.01944   0.00000
 1463.00   -0.01948   0.00000
 1464.00   -0.01952   0.00000
 1465.00   -0.01956   0.00000
 1466.00   -0.01960   0.00000
 1467.00   -0.01964   0.00000
 1468.00   -0.01968   0.00000
 1469.00   -0.01972   0.00000
 1470.00   -0.01976   0.00000
 1471.00   -0.01980   0.00000
 1472.00   -0.01984   0.00000
 1473.00   -0.01988   0.00000
 1474.00   -0.01992   0.00000
 1475.00   -0.01996   0.00000
 1476.00   -0.02000   0.00000
 1477.00   -0.02004   0.00000
 1478.00   -0.02008   0.00000
 1479.00   -0.02012   0.00000
 1480.00   -0.02016   0.00000
 1481.00   -0.02020   0.00000
 1482.00   -0.02024   0.00000
 1483.00   -0.02027   0.00000
 1484.00   -0.02031   0.00000
 1485.00   -0.02035   0.00000
 1486.00   -0.02039   0.00000
 1487.00   -0.02043   0.00000
 1488.00   -0.02047   0.00000
 1489.00   -0.02050   0.00000
 1490.00   -0.02054   0.00000
 1491.00   -0.02058   0.00000
 1492.00   -0.02062   0.00000
 1493.00   -0.02065   0.00000
 1494.00   -0.02069   0.00000
 1495.00   -0.02073   0.00000
 1496.00   -0.02076   0.00000
 1497.00   -0.02080   0.00000
 1498.00   -0.02084   0.00000
 1499.00   -0.02087   0.00000
 1500.00   -0.02091   0.00000
 1501.00   -0.02094   0.00000
 1502.00   -0.02098   0.00000
 1503.00   -0.02102   0.00000
 1504.00   -0.02105   0.00000
 1505.00   -0.02109   0.00000
 1506.00   -0.02112   0.00000
 1507.00   -0.02116   0.00000
 1508.00   -0.02119   0.00000
 1509.00   -0.02123   0.00000
 1510.00   -0.02126   0.00000
 1511.00   -0.02130   0.00000
 1512.00   -0.02133   0.00000
 1513.00   -0.02137   0.00000
 1514.00   -0.02140   0.00000
 1515.00   -0.02143   0.00000
 1516.00   -0.02147   0.00000
 1517.00   -0.02150   0.00000
 1518.00   -0.02154   0.00000
 1519.00   -0.02157   0.00000
 1520.00   -0.02160   0.00000
 1521.00   -0.02164   0.00000
 1522.00   -0.02167   0.00000
 1523.00   -0.02170   0.00000
 1524.00   -0.02173   0.00000
 1525.00   -0.02177   0.00000
 1526.00   -0.02180   0.00000
 1527.00   -0.02183   0.00000
 1528.00   -0.02186   0.00000
 1529.00   -0.02190   0.00000
 1530.00   -0.02193   0.00000
 1531.00   -0.02196   0.00000
 1532.00   -0.02199   0.00000
 1533.00   -0.02202   0.00000
 1534.00   -0.02206   0.00000
 1535.00   -0.02209   0.00000
 1536.00   -0.02212   0.00000
 1537.00   -0.02215   0.00000
 1538.00   -0.02218   0.00000
 1539.00   -0.02221   0.00000
 1540.00   -0.02224   0.00000
 1541.00   -0.02227   0.00000
 1542.00   -0.02230   0.00000
 1543.00   -0.02233   0.00000
 1544.00   -0.02236   0.00000
 1545.00   -0.02239   0.00000
 1546.00   -0.02242   0.00000
 1547.00   -0.02245   0.00000
 1548.00   -0.02248   0.00000
 1549.00   -0.02251   0.00000
 1550.00   -0.02254   0.00000
 1551.00   -0.02257   0.00000
 1552.00   -0.02260   0.00000
 1553.00   -0.02263   0.00000
 1554.00   -0.02266   0.00000
 1555.00   -0.02269   0.00000
 1556.00   -0.02272   0.00000
 1557.00   -0.02275   0.00000
 1558.00   -0.02278   0.00000
 1559.00   -0.02280   0.00000
 1560.00   -0.02283   0.00000
 1561.00   -0.02286   0.00000
 1562.00   -0.02289   0.00000
 1563.00   -0.02292   0.00000
 1564.00   -0.02294   0.00000
 1565.00   -0.02297   0.00000
 1566.00   -0.02300   0.00000
 1567.00   -0.02303   0.00000
 1568.00   -0.02305   0.00000
 1569.00   -0.02308   0.00000
 1570.00   -0.02311   0.00000
 1571.00   -0.02314   0.00000
 1572.00   -0.02316   0.00000
 1573.00   -0.02319   0.00000
 1574.00   -0.02322   0.00000
 1575.00   -0.02324   0.00000
 1576.00   -0.02327   0.00000
 1577.00   -0.02329   0.00000
 1578.00   -0.02332   0.00000
 1579.00   -0.02335   0.00000
 1580.00   -0.02337   0.00000
 1581.00   -0.02340   0.00000
 1582.00   -0.02342   0.00000
 1583.00   -0.02345   0.00000
 1584.00   -0.02348   0.00000
 1585.00   -0.02350   0.00000
 1586.00   -0.02353   0.00000
 1587.00   -0.02355   0.00000
 1588.00   -0.02358   0.00000
 1589.00   -0.02360   0.00000
 1590.00   -0.02363   0.00000
 1591.00   -0.02365   0.00000
 1592.00   -0.02367   0.00000
 1593.00   -0.02370   0.00000
 1594.00   -0.02372   0.00000
 1595.00   -0.02375   0.00000
 1596.00   -0.02377   0.00000
 1597.00   -0.02380   0.00000
 1598.00   -0.02382   0.00000
 1599.00   -0.02384   0.00000
 1600.00   -0.02387   0.00000
 1601.00   -0.02389   0.00000
 1602.00   -0.02391   0.00000
 1603.00   -0.02394   0.00000
 1604.00   -0.02396   0.00000
 1605.00   -0.02398   0.00000
 1606.00   -0.02401   0.00000
 1607.00   -0.02403   0.00000
 1608.00   -0.02405   0.00000
 1609.00   -0.02407   0.00000
 1610.00   -0.02410   0.00000
 1611.00   -0.02412   0.00000
 1612.00   -0.02414   0.00000
 1613.00   -0.02416   0.00000
 1614.00   -0.02419   0.00000
 1615.00   -0.02421   0.00000
 1616.00   -0.02423   0.00000
 1617.00   -0.02425   0.00000
 1618.00   -0.02427   0.00000
 1619.00   -0.02429   0.00000
 1620.00   -0.02432   0.00000
 1621.00   -0.02434   0.00000
 1622.00   -0.02436   0.00000
 1623.00   -0.02438   0.00000
 1624.00   -0.02440   0.00000
 1625.00   -0.02442   0.00000
 1626.00   -0.02444   0.00000
