   W         E2-(pi+_n)
 (MeV)      Re      Im
 1514.0    5.134   0.000
 1515.0    5.133   0.000
 1516.0    5.131   0.000
 1517.0    5.129   0.000
 1518.0    5.127   0.000
 1519.0    5.126   0.000
 1520.0    5.124   0.000
 1521.0    5.122   0.000
 1522.0    5.120   0.000
 1523.0    5.119   0.000
 1524.0    5.117   0.000
 1525.0    5.115   0.000
 1526.0    5.113   0.000
 1527.0    5.112   0.000
 1528.0    5.110   0.000
 1529.0    5.108   0.000
 1530.0    5.106   0.000
 1531.0    5.104   0.000
 1532.0    5.103   0.000
 1533.0    5.101   0.000
 1534.0    5.099   0.000
 1535.0    5.097   0.000
 1536.0    5.095   0.000
 1537.0    5.094   0.000
 1538.0    5.092   0.000
 1539.0    5.090   0.000
 1540.0    5.088   0.000
 1541.0    5.086   0.000
 1542.0    5.085   0.000
 1543.0    5.083   0.000
 1544.0    5.081   0.000
 1545.0    5.079   0.000
 1546.0    5.078   0.000
 1547.0    5.076   0.000
 1548.0    5.074   0.000
 1549.0    5.072   0.000
 1550.0    5.070   0.000
 1551.0    5.069   0.000
 1552.0    5.067   0.000
 1553.0    5.065   0.000
 1554.0    5.063   0.000
 1555.0    5.061   0.000
 1556.0    5.059   0.000
 1557.0    5.058   0.000
 1558.0    5.056   0.000
 1559.0    5.054   0.000
 1560.0    5.052   0.000
 1561.0    5.050   0.000
 1562.0    5.049   0.000
 1563.0    5.047   0.000
 1564.0    5.045   0.000
 1565.0    5.043   0.000
 1566.0    5.041   0.000
 1567.0    5.040   0.000
 1568.0    5.038   0.000
 1569.0    5.036   0.000
 1570.0    5.034   0.000
 1571.0    5.032   0.000
 1572.0    5.031   0.000
 1573.0    5.029   0.000
 1574.0    5.027   0.000
 1575.0    5.025   0.000
 1576.0    5.023   0.000
 1577.0    5.022   0.000
 1578.0    5.020   0.000
 1579.0    5.018   0.000
 1580.0    5.016   0.000
 1581.0    5.014   0.000
 1582.0    5.012   0.000
 1583.0    5.011   0.000
 1584.0    5.009   0.000
 1585.0    5.007   0.000
 1586.0    5.005   0.000
 1587.0    5.003   0.000
 1588.0    5.002   0.000
 1589.0    5.000   0.000
 1590.0    4.998   0.000
 1591.0    4.996   0.000
