   W         M1+(pi+_n)
 (MeV)      Re      Im
 1369.0    2.408  -2.794
 1370.0    2.386  -2.757
 1371.0    2.364  -2.721
 1372.0    2.342  -2.685
 1373.0    2.320  -2.650
 1374.0    2.297  -2.615
 1375.0    2.275  -2.580
 1376.0    2.253  -2.546
 1377.0    2.231  -2.512
 1378.0    2.209  -2.478
 1379.0    2.187  -2.445
 1380.0    2.165  -2.412
 1381.0    2.143  -2.380
 1382.0    2.121  -2.347
 1383.0    2.099  -2.316
 1384.0    2.077  -2.284
 1385.0    2.055  -2.253
 1386.0    2.033  -2.222
 1387.0    2.012  -2.191
 1388.0    1.990  -2.161
 1389.0    1.968  -2.131
 1390.0    1.946  -2.102
 1391.0    1.925  -2.073
 1392.0    1.903  -2.044
 1393.0    1.882  -2.015
 1394.0    1.860  -1.987
 1395.0    1.839  -1.959
 1396.0    1.817  -1.931
 1397.0    1.796  -1.904
 1398.0    1.774  -1.877
 1399.0    1.753  -1.850
 1400.0    1.732  -1.824
 1401.0    1.710  -1.797
 1402.0    1.689  -1.771
 1403.0    1.667  -1.746
 1404.0    1.646  -1.720
 1405.0    1.625  -1.695
 1406.0    1.603  -1.670
 1407.0    1.582  -1.645
 1408.0    1.561  -1.621
 1409.0    1.540  -1.597
 1410.0    1.519  -1.573
 1411.0    1.498  -1.550
 1412.0    1.477  -1.526
 1413.0    1.457  -1.503
 1414.0    1.436  -1.480
 1415.0    1.416  -1.458
 1416.0    1.395  -1.435
 1417.0    1.375  -1.413
 1418.0    1.355  -1.391
 1419.0    1.335  -1.370
 1420.0    1.315  -1.349
 1421.0    1.295  -1.327
 1422.0    1.275  -1.307
 1423.0    1.255  -1.286
 1424.0    1.235  -1.265
 1425.0    1.215  -1.245
 1426.0    1.195  -1.225
 1427.0    1.175  -1.206
 1428.0    1.156  -1.186
 1429.0    1.136  -1.167
 1430.0    1.116  -1.147
 1431.0    1.097  -1.128
 1432.0    1.077  -1.110
 1433.0    1.058  -1.091
 1434.0    1.038  -1.072
 1435.0    1.019  -1.054
 1436.0    1.000  -1.036
 1437.0    0.981  -1.018
 1438.0    0.962  -1.001
 1439.0    0.943  -0.983
 1440.0    0.924  -0.966
 1441.0    0.905  -0.949
 1442.0    0.886  -0.932
 1443.0    0.867  -0.916
 1444.0    0.849  -0.899
 1445.0    0.830  -0.883
 1446.0    0.812  -0.867
 1447.0    0.793  -0.851
 1448.0    0.775  -0.836
 1449.0    0.757  -0.820
 1450.0    0.738  -0.805
 1451.0    0.720  -0.790
 1452.0    0.702  -0.775
 1453.0    0.684  -0.760
 1454.0    0.666  -0.745
 1455.0    0.648  -0.731
 1456.0    0.630  -0.716
 1457.0    0.612  -0.702
 1458.0    0.594  -0.688
 1459.0    0.577  -0.674
 1460.0    0.559  -0.661
 1461.0    0.542  -0.647
 1462.0    0.525  -0.634
 1463.0    0.507  -0.621
 1464.0    0.490  -0.608
 1465.0    0.474  -0.595
 1466.0    0.457  -0.583
 1467.0    0.440  -0.570
 1468.0    0.424  -0.558
 1469.0    0.407  -0.546
 1470.0    0.391  -0.534
 1471.0    0.374  -0.522
 1472.0    0.358  -0.510
 1473.0    0.342  -0.499
 1474.0    0.326  -0.488
 1475.0    0.311  -0.476
 1476.0    0.295  -0.465
 1477.0    0.279  -0.455
 1478.0    0.264  -0.444
 1479.0    0.248  -0.433
 1480.0    0.233  -0.423
 1481.0    0.218  -0.412
 1482.0    0.203  -0.402
 1483.0    0.188  -0.392
 1484.0    0.173  -0.382
 1485.0    0.158  -0.373
 1486.0    0.143  -0.363
 1487.0    0.128  -0.354
 1488.0    0.114  -0.344
 1489.0    0.099  -0.335
 1490.0    0.085  -0.326
 1491.0    0.071  -0.317
 1492.0    0.057  -0.308
 1493.0    0.043  -0.300
 1494.0    0.029  -0.291
 1495.0    0.016  -0.283
 1496.0    0.002  -0.274
 1497.0   -0.011  -0.266
 1498.0   -0.025  -0.258
 1499.0   -0.038  -0.250
 1500.0   -0.051  -0.242
 1501.0   -0.064  -0.235
 1502.0   -0.077  -0.227
 1503.0   -0.090  -0.219
 1504.0   -0.103  -0.212
 1505.0   -0.115  -0.205
 1506.0   -0.128  -0.198
 1507.0   -0.140  -0.190
 1508.0   -0.152  -0.183
 1509.0   -0.164  -0.177
 1510.0   -0.176  -0.170
 1511.0   -0.187  -0.163
 1512.0   -0.199  -0.157
 1513.0   -0.210  -0.150
 1514.0   -0.221  -0.144
 1515.0   -0.232  -0.138
 1516.0   -0.243  -0.132
 1517.0   -0.253  -0.126
 1518.0   -0.264  -0.120
 1519.0   -0.274  -0.114
 1520.0   -0.284  -0.108
 1521.0   -0.295  -0.103
 1522.0   -0.305  -0.097
 1523.0   -0.314  -0.092
 1524.0   -0.324  -0.086
 1525.0   -0.334  -0.081
 1526.0   -0.344  -0.076
 1527.0   -0.353  -0.071
 1528.0   -0.362  -0.066
 1529.0   -0.372  -0.060
 1530.0   -0.381  -0.055
 1531.0   -0.390  -0.051
 1532.0   -0.399  -0.046
 1533.0   -0.408  -0.041
 1534.0   -0.416  -0.036
 1535.0   -0.425  -0.032
 1536.0   -0.433  -0.027
 1537.0   -0.442  -0.022
 1538.0   -0.450  -0.018
 1539.0   -0.458  -0.014
 1540.0   -0.466  -0.009
 1541.0   -0.473  -0.005
 1542.0   -0.481  -0.001
 1543.0   -0.488   0.003
 1544.0   -0.495   0.007
 1545.0   -0.502   0.012
 1546.0   -0.509   0.015
 1547.0   -0.516   0.019
 1548.0   -0.522   0.023
 1549.0   -0.529   0.027
 1550.0   -0.535   0.031
 1551.0   -0.541   0.035
 1552.0   -0.548   0.039
 1553.0   -0.554   0.042
 1554.0   -0.560   0.046
 1555.0   -0.565   0.050
 1556.0   -0.571   0.053
 1557.0   -0.577   0.057
 1558.0   -0.582   0.060
 1559.0   -0.588   0.064
 1560.0   -0.593   0.067
 1561.0   -0.598   0.071
 1562.0   -0.603   0.074
 1563.0   -0.608   0.078
 1564.0   -0.613   0.081
 1565.0   -0.617   0.084
 1566.0   -0.622   0.088
 1567.0   -0.626   0.091
 1568.0   -0.630   0.094
 1569.0   -0.635   0.097
 1570.0   -0.639   0.101
 1571.0   -0.642   0.104
 1572.0   -0.646   0.107
 1573.0   -0.650   0.110
 1574.0   -0.653   0.113
 1575.0   -0.657   0.117
 1576.0   -0.660   0.120
 1577.0   -0.664   0.123
 1578.0   -0.667   0.126
 1579.0   -0.670   0.129
 1580.0   -0.673   0.132
 1581.0   -0.676   0.135
 1582.0   -0.679   0.139
 1583.0   -0.682   0.142
 1584.0   -0.685   0.145
 1585.0   -0.687   0.148
 1586.0   -0.690   0.151
 1587.0   -0.693   0.154
 1588.0   -0.695   0.157
 1589.0   -0.698   0.161
 1590.0   -0.700   0.164
 1591.0   -0.703   0.167
 1592.0   -0.705   0.170
 1593.0   -0.707   0.173
 1594.0   -0.709   0.176
 1595.0   -0.711   0.180
 1596.0   -0.713   0.183
 1597.0   -0.715   0.186
 1598.0   -0.717   0.189
 1599.0   -0.719   0.193
 1600.0   -0.720   0.196
 1601.0   -0.722   0.199
 1602.0   -0.724   0.202
 1603.0   -0.726   0.206
 1604.0   -0.727   0.209
 1605.0   -0.729   0.212
 1606.0   -0.730   0.216
 1607.0   -0.732   0.219
 1608.0   -0.733   0.223
 1609.0   -0.734   0.226
 1610.0   -0.736   0.229
 1611.0   -0.737   0.233
 1612.0   -0.738   0.236
 1613.0   -0.739   0.240
 1614.0   -0.740   0.243
 1615.0   -0.741   0.247
 1616.0   -0.742   0.250
 1617.0   -0.743   0.254
 1618.0   -0.744   0.257
 1619.0   -0.745   0.261
 1620.0   -0.746   0.265
 1621.0   -0.747   0.268
 1622.0   -0.749   0.272
 1623.0   -0.750   0.276
 1624.0   -0.752   0.280
 1625.0   -0.753   0.284
 1626.0   -0.755   0.287
 1627.0   -0.757   0.291
 1628.0   -0.758   0.295
 1629.0   -0.760   0.299
 1630.0   -0.761   0.303
 1631.0   -0.763   0.307
 1632.0   -0.764   0.311
 1633.0   -0.765   0.315
 1634.0   -0.767   0.319
 1635.0   -0.768   0.323
 1636.0   -0.769   0.327
 1637.0   -0.771   0.331
 1638.0   -0.772   0.335
 1639.0   -0.774   0.339
 1640.0   -0.775   0.344
 1641.0   -0.777   0.348
 1642.0   -0.779   0.352
 1643.0   -0.781   0.356
 1644.0   -0.783   0.361
 1645.0   -0.786   0.365
 1646.0   -0.788   0.369
 1647.0   -0.790   0.374
 1648.0   -0.793   0.378
 1649.0   -0.795   0.382
 1650.0   -0.798   0.387
 1651.0   -0.795   0.391
 1652.0   -0.793   0.395
 1653.0   -0.791   0.399
 1654.0   -0.789   0.403
 1655.0   -0.786   0.407
 1656.0   -0.784   0.411
 1657.0   -0.783   0.416
 1658.0   -0.781   0.420
 1659.0   -0.779   0.424
 1660.0   -0.778   0.428
 1661.0   -0.777   0.432
 1662.0   -0.776   0.437
 1663.0   -0.776   0.441
 1664.0   -0.775   0.445
 1665.0   -0.775   0.450
 1666.0   -0.775   0.454
 1667.0   -0.774   0.458
 1668.0   -0.774   0.462
 1669.0   -0.774   0.467
 1670.0   -0.774   0.471
 1671.0   -0.773   0.475
 1672.0   -0.773   0.479
 1673.0   -0.772   0.483
 1674.0   -0.772   0.488
 1675.0   -0.771   0.492
 1676.0   -0.771   0.496
 1677.0   -0.771   0.500
 1678.0   -0.771   0.504
 1679.0   -0.771   0.508
 1680.0   -0.772   0.512
 1681.0   -0.772   0.516
 1682.0   -0.773   0.520
 1683.0   -0.775   0.524
 1684.0   -0.776   0.528
 1685.0   -0.778   0.532
 1686.0   -0.780   0.535
 1687.0   -0.781   0.539
 1688.0   -0.783   0.543
 1689.0   -0.785   0.547
 1690.0   -0.787   0.550
 1691.0   -0.790   0.554
