   W          E7-(pi+_n)
 (MeV)       Re        Im
 1536.00    0.04670   0.00000
 1537.00    0.04674   0.00000
 1538.00    0.04678   0.00000
 1539.00    0.04682   0.00000
 1540.00    0.04686   0.00000
 1541.00    0.04690   0.00000
 1542.00    0.04694   0.00000
 1543.00    0.04699   0.00000
 1544.00    0.04702   0.00000
 1545.00    0.04706   0.00000
 1546.00    0.04710   0.00000
 1547.00    0.04714   0.00000
 1548.00    0.04718   0.00000
 1549.00    0.04722   0.00000
 1550.00    0.04726   0.00000
 1551.00    0.04730   0.00000
 1552.00    0.04733   0.00000
 1553.00    0.04737   0.00000
 1554.00    0.04741   0.00000
 1555.00    0.04745   0.00000
 1556.00    0.04748   0.00000
 1557.00    0.04752   0.00000
 1558.00    0.04756   0.00000
 1559.00    0.04759   0.00000
 1560.00    0.04763   0.00000
 1561.00    0.04766   0.00000
 1562.00    0.04770   0.00000
 1563.00    0.04773   0.00000
 1564.00    0.04777   0.00000
 1565.00    0.04780   0.00000
 1566.00    0.04784   0.00000
 1567.00    0.04787   0.00000
 1568.00    0.04791   0.00000
 1569.00    0.04794   0.00000
 1570.00    0.04797   0.00000
 1571.00    0.04801   0.00000
 1572.00    0.04804   0.00000
 1573.00    0.04807   0.00000
 1574.00    0.04811   0.00000
 1575.00    0.04814   0.00000
 1576.00    0.04817   0.00000
 1577.00    0.04820   0.00000
 1578.00    0.04824   0.00000
 1579.00    0.04827   0.00000
 1580.00    0.04830   0.00000
 1581.00    0.04833   0.00000
 1582.00    0.04836   0.00000
 1583.00    0.04839   0.00000
 1584.00    0.04842   0.00000
 1585.00    0.04845   0.00000
 1586.00    0.04848   0.00000
 1587.00    0.04851   0.00000
 1588.00    0.04854   0.00000
 1589.00    0.04857   0.00000
 1590.00    0.04860   0.00000
 1591.00    0.04863   0.00000
 1592.00    0.04866   0.00000
 1593.00    0.04869   0.00000
 1594.00    0.04871   0.00000
 1595.00    0.04874   0.00000
 1596.00    0.04877   0.00000
 1597.00    0.04880   0.00000
 1598.00    0.04883   0.00000
 1599.00    0.04885   0.00000
 1600.00    0.04888   0.00000
 1601.00    0.04891   0.00000
 1602.00    0.04894   0.00000
 1603.00    0.04896   0.00000
 1604.00    0.04899   0.00000
 1605.00    0.04901   0.00000
 1606.00    0.04904   0.00000
 1607.00    0.04907   0.00000
 1608.00    0.04909   0.00000
 1609.00    0.04912   0.00000
 1610.00    0.04914   0.00000
 1611.00    0.04917   0.00000
 1612.00    0.04919   0.00000
 1613.00    0.04922   0.00000
 1614.00    0.04924   0.00000
 1615.00    0.04927   0.00000
 1616.00    0.04929   0.00000
 1617.00    0.04932   0.00000
 1618.00    0.04934   0.00000
 1619.00    0.04936   0.00000
 1620.00    0.04939   0.00000
 1621.00    0.04941   0.00000
 1622.00    0.04943   0.00000
 1623.00    0.04946   0.00000
 1624.00    0.04948   0.00000
 1625.00    0.04950   0.00000
 1626.00    0.04952   0.00000
 1627.00    0.04955   0.00000
 1628.00    0.04957   0.00000
 1629.00    0.04959   0.00000
 1630.00    0.04961   0.00000
 1631.00    0.04963   0.00000
 1632.00    0.04965   0.00000
 1633.00    0.04968   0.00000
 1634.00    0.04970   0.00000
 1635.00    0.04972   0.00000
 1636.00    0.04974   0.00000
 1637.00    0.04976   0.00000
 1638.00    0.04978   0.00000
 1639.00    0.04980   0.00000
 1640.00    0.04982   0.00000
 1641.00    0.04984   0.00000
 1642.00    0.04986   0.00000
 1643.00    0.04988   0.00000
 1644.00    0.04990   0.00000
 1645.00    0.04992   0.00000
 1646.00    0.04994   0.00000
 1647.00    0.04996   0.00000
 1648.00    0.04998   0.00000
 1649.00    0.04999   0.00000
 1650.00    0.05001   0.00000
 1651.00    0.05003   0.00000
 1652.00    0.05005   0.00000
 1653.00    0.05007   0.00000
 1654.00    0.05009   0.00000
 1655.00    0.05010   0.00000
 1656.00    0.05012   0.00000
 1657.00    0.05014   0.00000
 1658.00    0.05016   0.00000
 1659.00    0.05017   0.00000
 1660.00    0.05019   0.00000
 1661.00    0.05021   0.00000
 1662.00    0.05022   0.00000
 1663.00    0.05024   0.00000
 1664.00    0.05026   0.00000
 1665.00    0.05027   0.00000
 1666.00    0.05029   0.00000
 1667.00    0.05030   0.00000
 1668.00    0.05032   0.00000
 1669.00    0.05034   0.00000
 1670.00    0.05035   0.00000
 1671.00    0.05037   0.00000
 1672.00    0.05038   0.00000
 1673.00    0.05040   0.00000
 1674.00    0.05041   0.00000
 1675.00    0.05043   0.00000
 1676.00    0.05044   0.00000
 1677.00    0.05046   0.00000
 1678.00    0.05047   0.00000
 1679.00    0.05049   0.00000
 1680.00    0.05050   0.00000
 1681.00    0.05051   0.00000
 1682.00    0.05053   0.00000
 1683.00    0.05054   0.00000
 1684.00    0.05056   0.00000
 1685.00    0.05057   0.00000
 1686.00    0.05058   0.00000
 1687.00    0.05060   0.00000
 1688.00    0.05061   0.00000
 1689.00    0.05062   0.00000
 1690.00    0.05064   0.00000
 1691.00    0.05065   0.00000
 1692.00    0.05066   0.00000
 1693.00    0.05067   0.00000
 1694.00    0.05069   0.00000
 1695.00    0.05070   0.00000
 1696.00    0.05071   0.00000
 1697.00    0.05072   0.00000
 1698.00    0.05073   0.00000
 1699.00    0.05075   0.00000
 1700.00    0.05076   0.00000
 1701.00    0.05077   0.00000
 1702.00    0.05078   0.00000
 1703.00    0.05079   0.00000
 1704.00    0.05080   0.00000
 1705.00    0.05081   0.00000
 1706.00    0.05083   0.00000
 1707.00    0.05084   0.00000
 1708.00    0.05085   0.00000
 1709.00    0.05086   0.00000
 1710.00    0.05087   0.00000
 1711.00    0.05088   0.00000
 1712.00    0.05089   0.00000
 1713.00    0.05090   0.00000
 1714.00    0.05091   0.00000
 1715.00    0.05092   0.00000
 1716.00    0.05093   0.00000
 1717.00    0.05094   0.00000
 1718.00    0.05095   0.00000
