   W         E2-(pi+_n)
 (MeV)      Re      Im
 1613.0    3.712   0.000
 1614.0    3.707   0.000
 1615.0    3.702   0.000
 1616.0    3.698   0.000
 1617.0    3.693   0.000
 1618.0    3.688   0.000
 1619.0    3.683   0.000
 1620.0    3.679   0.000
 1621.0    3.674   0.000
 1622.0    3.669   0.000
 1623.0    3.664   0.000
 1624.0    3.660   0.000
 1625.0    3.655   0.000
 1626.0    3.650   0.000
 1627.0    3.645   0.000
 1628.0    3.641   0.000
 1629.0    3.636   0.000
 1630.0    3.631   0.000
 1631.0    3.626   0.000
 1632.0    3.622   0.000
 1633.0    3.617   0.000
 1634.0    3.612   0.000
 1635.0    3.607   0.000
 1636.0    3.603   0.000
 1637.0    3.598   0.000
 1638.0    3.593   0.000
 1639.0    3.589   0.000
 1640.0    3.584   0.000
 1641.0    3.579   0.000
 1642.0    3.574   0.000
 1643.0    3.570   0.000
 1644.0    3.565   0.000
 1645.0    3.560   0.000
 1646.0    3.555   0.000
 1647.0    3.551   0.000
 1648.0    3.546   0.000
 1649.0    3.541   0.000
 1650.0    3.537   0.000
 1651.0    3.532   0.000
 1652.0    3.527   0.000
 1653.0    3.522   0.000
 1654.0    3.518   0.000
 1655.0    3.513   0.000
 1656.0    3.508   0.000
 1657.0    3.504   0.000
 1658.0    3.499   0.000
 1659.0    3.494   0.000
 1660.0    3.489   0.000
 1661.0    3.485   0.000
 1662.0    3.480   0.000
 1663.0    3.475   0.000
 1664.0    3.471   0.000
 1665.0    3.466   0.000
 1666.0    3.461   0.000
 1667.0    3.456   0.000
 1668.0    3.452   0.000
 1669.0    3.447   0.000
 1670.0    3.442   0.000
 1671.0    3.438   0.000
 1672.0    3.433   0.000
 1673.0    3.428   0.000
 1674.0    3.424   0.000
 1675.0    3.419   0.000
 1676.0    3.414   0.000
 1677.0    3.409   0.000
 1678.0    3.405   0.000
 1679.0    3.400   0.000
 1680.0    3.395   0.000
 1681.0    3.391   0.000
 1682.0    3.386   0.000
 1683.0    3.381   0.000
 1684.0    3.377   0.000
 1685.0    3.372   0.000
 1686.0    3.367   0.000
 1687.0    3.363   0.000
 1688.0    3.358   0.000
 1689.0    3.353   0.000
 1690.0    3.349   0.000
 1691.0    3.344   0.000
 1692.0    3.339   0.000
 1693.0    3.335   0.000
 1694.0    3.330   0.000
 1695.0    3.325   0.000
 1696.0    3.321   0.000
 1697.0    3.316   0.000
 1698.0    3.311   0.000
 1699.0    3.307   0.000
 1700.0    3.302   0.000
 1701.0    3.297   0.000
 1702.0    3.293   0.000
 1703.0    3.288   0.000
 1704.0    3.283   0.000
 1705.0    3.279   0.000
 1706.0    3.274   0.000
 1707.0    3.269   0.000
 1708.0    3.265   0.000
 1709.0    3.260   0.000
 1710.0    3.256   0.000
 1711.0    3.251   0.000
 1712.0    3.246   0.000
 1713.0    3.242   0.000
 1714.0    3.237   0.000
 1715.0    3.232   0.000
 1716.0    3.228   0.000
 1717.0    3.223   0.000
 1718.0    3.218   0.000
 1719.0    3.214   0.000
 1720.0    3.209   0.000
 1721.0    3.205   0.000
 1722.0    3.200   0.000
 1723.0    3.195   0.000
 1724.0    3.191   0.000
 1725.0    3.186   0.000
 1726.0    3.182   0.000
 1727.0    3.177   0.000
 1728.0    3.172   0.000
 1729.0    3.168   0.000
 1730.0    3.163   0.000
 1731.0    3.158   0.000
 1732.0    3.154   0.000
 1733.0    3.149   0.000
 1734.0    3.145   0.000
 1735.0    3.140   0.000
 1736.0    3.136   0.000
 1737.0    3.131   0.000
 1738.0    3.126   0.000
 1739.0    3.122   0.000
 1740.0    3.117   0.000
 1741.0    3.113   0.000
 1742.0    3.108   0.000
 1743.0    3.103   0.000
 1744.0    3.099   0.000
 1745.0    3.094   0.000
 1746.0    3.090   0.000
 1747.0    3.085   0.000
 1748.0    3.081   0.000
 1749.0    3.076   0.000
 1750.0    3.071   0.000
 1751.0    3.067   0.000
 1752.0    3.062   0.000
 1753.0    3.058   0.000
 1754.0    3.053   0.000
 1755.0    3.049   0.000
 1756.0    3.044   0.000
 1757.0    3.040   0.000
 1758.0    3.035   0.000
 1759.0    3.030   0.000
 1760.0    3.026   0.000
 1761.0    3.021   0.000
 1762.0    3.017   0.000
 1763.0    3.012   0.000
 1764.0    3.008   0.000
 1765.0    3.003   0.000
 1766.0    2.999   0.000
 1767.0    2.994   0.000
 1768.0    2.990   0.000
 1769.0    2.985   0.000
 1770.0    2.981   0.000
 1771.0    2.976   0.000
 1772.0    2.971   0.000
 1773.0    2.967   0.000
 1774.0    2.962   0.000
 1775.0    2.958   0.000
 1776.0    2.953   0.000
 1777.0    2.949   0.000
 1778.0    2.944   0.000
 1779.0    2.940   0.000
 1780.0    2.935   0.000
 1781.0    2.931   0.000
 1782.0    2.926   0.000
 1783.0    2.922   0.000
 1784.0    2.917   0.000
 1785.0    2.913   0.000
 1786.0    2.908   0.000
 1787.0    2.904   0.000
 1788.0    2.899   0.000
 1789.0    2.895   0.000
 1790.0    2.890   0.000
 1791.0    2.886   0.000
 1792.0    2.881   0.000
 1793.0    2.877   0.000
 1794.0    2.873   0.000
 1795.0    2.868   0.000
 1796.0    2.864   0.000
 1797.0    2.859   0.000
 1798.0    2.855   0.000
 1799.0    2.850   0.000
 1800.0    2.846   0.000
 1801.0    2.841   0.000
 1802.0    2.837   0.000
 1803.0    2.832   0.000
 1804.0    2.828   0.000
 1805.0    2.823   0.000
 1806.0    2.819   0.000
 1807.0    2.815   0.000
 1808.0    2.810   0.000
 1809.0    2.806   0.000
 1810.0    2.801   0.000
 1811.0    2.797   0.000
 1812.0    2.792   0.000
 1813.0    2.788   0.000
 1814.0    2.784   0.000
 1815.0    2.779   0.000
 1816.0    2.775   0.000
 1817.0    2.770   0.000
 1818.0    2.766   0.000
 1819.0    2.761   0.000
 1820.0    2.757   0.000
 1821.0    2.753   0.000
 1822.0    2.748   0.000
 1823.0    2.744   0.000
 1824.0    2.739   0.000
 1825.0    2.735   0.000
 1826.0    2.731   0.000
 1827.0    2.726   0.000
 1828.0    2.722   0.000
