-0.300 107.46 3.2743 0.0110 0.0197
-0.233 103.49 3.3743 0.0112 0.0202
-0.167  99.59 3.4503 0.0113 0.0206
-0.100  95.74 3.4786 0.0113 0.0208
-0.033  91.91 3.5155 0.0114 0.0210
 0.033  88.09 3.4770 0.0113 0.0207
 0.100  84.26 3.3968 0.0112 0.0203
 0.167  80.41 3.3373 0.0111 0.0200
 0.233  76.51 3.2201 0.0109 0.0194
 0.300  72.54 3.0971 0.0106 0.0188
 0.367  68.49 2.9661 0.0104 0.0181
 0.433  64.32 2.8229 0.0101 0.0174
 0.500  60.00 2.6654 0.0098 0.0166
 0.567  55.48 2.5307 0.0097 0.0159
 0.633  50.70 2.3825 0.0096 0.0153
 0.700  45.57 2.2252 0.0097 0.0148
 0.767  39.94 2.1237 0.0104 0.0148
 0.833  33.56 2.0181 0.0116 0.0154
 0.900  25.84 1.9256 0.0137 0.0168
 0.967  14.84 1.8910 0.0216 0.0236
TXS=31.561+/-0.025 ub

tag channel= 231, eff= 0.637926
tag channel= 232 is bad
tag channel= 233, eff= 0.637744
tag channel= 234, eff= 0.636463
tag channel= 235 is bad
tag channel= 236 is bad
tag channel= 237, eff= 0.634747
Eg=574.81-605.50 W=1399.6-1420.1
Eg=590.16+/-15.34  W=1409.86+/-10.21
cos  degrees  DXS  eDXS_stat  eDXS_tot
-0.967 165.16 0.4001 0.0073 0.0075
-0.900 154.16 0.6301 0.0066 0.0073
-0.833 146.44 0.9353 0.0075 0.0089
-0.767 140.06 1.2250 0.0085 0.0104
-0.700 134.43 1.5493 0.0093 0.0121
-0.633 129.30 1.8441 0.0098 0.0135
-0.567 124.52 2.1397 0.0104 0.0149
-0.500 120.00 2.3943 0.0109 0.0162
-0.433 115.68 2.6164 0.0113 0.0173
-0.367 111.51 2.7683 0.0116 0.0181
-0.300 107.46 2.9088 0.0119 0.0188
-0.233 103.49 2.9952 0.0120 0.0192
-0.167  99.59 3.0710 0.0121 0.0196
-0.100  95.74 3.0947 0.0122 0.0197
-0.033  91.91 3.0839 0.0121 0.0196
 0.033  88.09 2.9989 0.0119 0.0191
 0.100  84.26 2.9361 0.0118 0.0188
 0.167  80.41 2.8466 0.0116 0.0184
 0.233  76.51 2.7049 0.0113 0.0176
 0.300  72.54 2.6087 0.0111 0.0171
 0.367  68.49 2.4292 0.0107 0.0162
 0.433  64.32 2.2893 0.0104 0.0155
 0.500  60.00 2.1466 0.0101 0.0147
 0.567  55.48 2.0397 0.0100 0.0143
 0.633  50.70 1.9098 0.0100 0.0138
 0.700  45.57 1.7654 0.0102 0.0135
 0.767  39.94 1.6581 0.0108 0.0136
 0.833  33.56 1.5625 0.0122 0.0145
 0.900  25.84 1.4797 0.0143 0.0161
 0.967  14.84 1.4481 0.0239 0.0250
TXS=26.995+/-0.026 ub

tag channel= 224 is bad
tag channel= 225, eff= 0.603000
tag channel= 226, eff= 0.628000
tag channel= 227, eff= 0.637295
tag channel= 228, eff= 0.637497
tag channel= 229 is bad
tag channel= 230, eff= 0.636238
Eg=605.50-636.05 W=1420.1-1440.1
Eg=620.78+/-15.27  W=1430.09+/-10.02
cos  degrees  DXS  eDXS_stat  eDXS_tot
-0.967 165.16 0.5561 0.0086 0.0090
-0.900 154.16 0.7285 0.0073 0.0082
-0.833 146.44 0.9974 0.0081 0.0095
-0.767 140.06 1.2797 0.0090 0.0111
