E_gamma_low;E_gamma_high;E_gamma_sys;costheta_center;costheta_width;P;stat;sys
867.47;900.56;5.52;-0.458;0.083;-0.1265;0.1071;0.0078
867.47;900.56;5.52;-0.375;0.083;-0.1494;0.1131;0.0079
867.47;900.56;5.52;-0.292;0.083;-0.1637;0.0951;0.0078
867.47;900.56;5.52;-0.208;0.083;-0.2532;0.1000;0.0126
867.47;900.56;5.52;-0.125;0.083;-0.2566;0.0961;0.0126
867.47;900.56;5.52;-0.042;0.083;-0.3630;0.0948;0.0174
867.47;900.56;5.52;0.042;0.083;-0.1287;0.0993;0.0067
867.47;900.56;5.52;0.125;0.083;0.0355;0.0988;0.0040
867.47;900.56;5.52;0.208;0.083;-0.2381;0.1081;0.0122
867.47;900.56;5.52;0.292;0.083;-0.0427;0.1137;0.0051
867.47;900.56;5.52;0.375;0.083;0.1812;0.1240;0.0095
867.47;900.56;5.52;0.458;0.083;0.2267;0.1278;0.0128
867.47;900.56;5.52;0.542;0.083;0.6333;0.1351;0.0325
867.47;900.56;5.52;0.625;0.083;0.3771;0.1919;0.0220

900.56;932.75;5.37;-0.958;0.083;-0.2870;0.1984;0.0135
900.56;932.75;5.37;-0.875;0.083;-0.4369;0.1145;0.0205
900.56;932.75;5.37;-0.792;0.083;-0.2712;0.0961;0.0131
900.56;932.75;5.37;-0.708;0.083;-0.2914;0.0884;0.0138
900.56;932.75;5.37;-0.625;0.083;-0.2253;0.0887;0.0112
900.56;932.75;5.37;-0.542;0.083;-0.1419;0.0900;0.0071
900.56;932.75;5.37;-0.458;0.083;-0.1980;0.1128;0.0110
900.56;932.75;5.37;-0.375;0.083;-0.1204;0.1280;0.0078
900.56;932.75;5.37;-0.292;0.083;-0.1102;0.1089;0.0061
900.56;932.75;5.37;-0.208;0.083;-0.1233;0.1067;0.0069
900.56;932.75;5.37;-0.125;0.083;-0.2576;0.1068;0.0127
900.56;932.75;5.37;-0.042;0.083;-0.1908;0.1106;0.0096
900.56;932.75;5.37;0.042;0.083;-0.1639;0.1101;0.0085
900.56;932.75;5.37;0.125;0.083;-0.2711;0.1138;0.0132
900.56;932.75;5.37;0.208;0.083;-0.0740;0.1311;0.0064
900.56;932.75;5.37;0.292;0.083;-0.1449;0.1317;0.0087
900.56;932.75;5.37;0.375;0.083;-0.1766;0.1356;0.0097
900.56;932.75;5.37;0.458;0.083;-0.1185;0.1493;0.0087
900.56;932.75;5.37;0.542;0.083;0.0696;0.1544;0.0074
900.56;932.75;5.37;0.625;0.083;0.2044;0.1994;0.0155

