tag channel= 308, eff= 0.455706
Eg=145.78-148.12 W=1074.2-1076.2
Eg=146.95+/-1.17  W=1075.23+/- 1.02
-0.95 161.81 1.8590 0.0259
-0.85 148.21 1.9568 0.0266
-0.75 138.59 2.0665 0.0266
-0.65 130.54 2.2036 0.0266
-0.55 123.37 2.2907 0.0275
-0.45 116.74 2.3446 0.0278
-0.35 110.49 2.3879 0.0280
-0.25 104.48 2.4206 0.0284
-0.15 98.63 2.3621 0.0289
-0.05 92.87 2.4021 0.0291
 0.05 87.13 2.3093 0.0293
 0.15 81.37 2.2938 0.0300
 0.25 75.52 2.1568 0.0302
 0.35 69.51 2.0911 0.0309
 0.45 63.26 1.9943 0.0317
 0.55 56.63 1.7482 0.0325
 0.65 49.46 1.6688 0.0330
 0.75 41.41 1.4985 0.0325
 0.85 31.79 1.3532 0.0318
 0.95 18.19 1.0070 0.0310
TXS=25.381+/-0.083 ub

tag channel= 283, eff= 0.339768
Eg=205.16-207.59 W=1124.9-1126.9
Eg=206.38+/-1.21  W=1125.89+/-1.01
cos  degrees  DXS  eDXS
-0.95 161.81 1.9457 0.0303
-0.85 148.21 2.1067 0.0313
-0.75 138.59 2.2394 0.0319
-0.65 130.54 2.3453 0.0319
-0.55 123.37 2.4561 0.0324
-0.45 116.74 2.5235 0.0327
-0.35 110.49 2.5026 0.0328
-0.25 104.48 2.5926 0.0335
-0.15 98.63 2.6627 0.0345
-0.05 92.87 2.5839 0.0347
 0.05 87.13 2.4660 0.0349
 0.15 81.37 2.4230 0.0354
 0.25 75.52 2.3240 0.0353
 0.35 69.51 2.2189 0.0360
 0.45 63.26 2.1466 0.0375
 0.55 56.63 2.0009 0.0380
 0.65 49.46 1.7464 0.0387
 0.75 41.41 1.5955 0.0393
 0.85 31.79 1.3631 0.0394
 0.95 18.19 1.0856 0.0367
TXS=27.210+/-0.098 ub

tag channel= 282, eff= 0.325202
Eg=207.57-209.98 W=1126.9-1128.9
Eg=208.78+/-1.21  W=1127.89+/-1.00
cos  degrees  DXS  eDXS
-0.95 161.81 2.1561 0.0303
-0.85 148.21 2.2898 0.0315
-0.75 138.59 2.3982 0.0317
-0.65 130.54 2.5816 0.0319
-0.55 123.37 2.7206 0.0325
-0.45 116.74 2.8250 0.0326
-0.35 110.49 2.8423 0.0332
-0.25 104.48 2.7982 0.0333
-0.15 98.63 2.8413 0.0344
-0.05 92.87 2.8105 0.0344
 0.05 87.13 2.8245 0.0343
 0.15 81.37 2.7065 0.0347
 0.25 75.52 2.6586 0.0358
 0.35 69.51 2.4819 0.0359
 0.45 63.26 2.3996 0.0355
 0.55 56.63 2.1618 0.0378
 0.65 49.46 1.9358 0.0389
 0.75 41.41 1.7263 0.0401
 0.85 31.79 1.5044 0.0385
 0.95 18.19 1.2846 0.0358
TXS=30.111+/-0.098 ub

tag channel= 281, eff= 0.326802
Eg=209.99-212.41 W=1128.9-1130.9
Eg=211.20+/-1.21  W=1129.90+/-1.00
cos  degrees  DXS  eDXS
-0.95 161.81 2.2403 0.0307
-0.85 148.21 2.4106 0.0316
-0.75 138.59 2.5382 0.0313
-0.65 130.54 2.7546 0.0314
-0.55 123.37 2.8878 0.0329
-0.45 116.74 2.9675 0.0324
-0.35 110.49 2.9885 0.0331
-0.25 104.48 3.0213 0.0331
-0.15 98.63 3.0045 0.0337
-0.05 92.87 3.0011 0.0343
 0.05 87.13 3.0628 0.0348
 0.15 81.37 2.8904 0.0351
 0.25 75.52 2.8329 0.0354
 0.35 69.51 2.6830 0.0356
 0.45 63.26 2.4984 0.0364
 0.55 56.63 2.3581 0.0366
 0.65 49.46 2.0986 0.0381
 0.75 41.41 1.8722 0.0383
 0.85 31.79 1.5724 0.0379
 0.95 18.19 1.3101 0.0368
TXS=32.024+/-0.097 ub

tag channel= 280, eff= 0.328886
Eg=212.41-214.83 W=1130.9-1132.9
Eg=213.62+/-1.21  W=1131.91+/-1.00
cos  degrees  DXS  eDXS
-0.95 161.81 2.3315 0.0316
-0.85 148.21 2.5542 0.0329
-0.75 138.59 2.7006 0.0325
-0.65 130.54 2.9573 0.0335
-0.55 123.37 3.0943 0.0341
-0.45 116.74 3.1063 0.0340
-0.35 110.49 3.2006 0.0346
-0.25 104.48 3.2993 0.0352
-0.15 98.63 3.3186 0.0360
-0.05 92.87 3.2829 0.0361
 0.05 87.13 3.1919 0.0365
 0.15 81.37 3.0481 0.0360
 0.25 75.52 3.0645 0.0368
 0.35 69.51 2.8574 0.0371
