TaggerCh	Theta	DTheta	Asym	DAsym
14	165.000000	5.000000	-0.277708	0.368737
14	175.000000	5.000000	0.068616	0.651856


15	5.000000	5.000000	0.000000	0.000000
15	15.000000	5.000000	2.042102	6.935385
15	25.000000	5.000000	-0.025036	0.370848
15	35.000000	5.000000	-0.059683	0.174961
15	45.000000	5.000000	-0.420183	0.101772
15	55.000000	5.000000	-0.191044	0.072108
15	65.000000	5.000000	-0.269978	0.055521
15	75.000000	5.000000	-0.424882	0.057167
15	85.000000	5.000000	-0.202048	0.052352
15	95.000000	5.000000	-0.140615	0.051535
15	105.000000	5.000000	-0.123254	0.056343
15	115.000000	5.000000	-0.186546	0.062859
15	125.000000	5.000000	0.005765	0.085797
15	135.000000	5.000000	0.019077	0.098485
15	145.000000	5.000000	0.025755	0.168970
15	155.000000	5.000000	0.431450	0.265862
15	165.000000	5.000000	0.482950	0.429597
15	175.000000	5.000000	1.264058	1.751942


16	5.000000	5.000000	0.398697	2.830294
16	15.000000	5.000000	5.300972	6.639326
16	25.000000	5.000000	-0.127350	0.247048
16	35.000000	5.000000	-0.528927	0.122978
16	45.000000	5.000000	-0.272634	0.075455
16	55.000000	5.000000	-0.289162	0.052387
16	65.000000	5.000000	-0.276468	0.043177
16	75.000000	5.000000	-0.319969	0.037302
16	85.000000	5.000000	-0.168238	0.036106
16	95.000000	5.000000	-0.226979	0.038744
16	105.000000	5.000000	-0.100927	0.041430
16	115.000000	5.000000	-0.023174	0.052966
16	125.000000	5.000000	0.159223	0.060499
16	135.000000	5.000000	0.049007	0.085268
16	145.000000	5.000000	0.202750	0.123720
16	155.000000	5.000000	1.132966	0.209162
16	165.000000	5.000000	0.236187	0.385418
16	175.000000	5.000000	1.274272	2.266592


17	5.000000	5.000000	-3.376760	8.036276
17	15.000000	5.000000	1.412248	1.563115
17	25.000000	5.000000	-0.916411	0.270254
17	35.000000	5.000000	-0.462062	0.116934
17	45.000000	5.000000	-0.456795	0.067752
17	55.000000	5.000000	-0.432911	0.047419
17	65.000000	5.000000	-0.361467	0.040772
17	75.000000	5.000000	-0.251092	0.035610
17	85.000000	5.000000	-0.218069	0.032127
17	95.000000	5.000000	-0.106018	0.033966
17	105.000000	5.000000	0.024499	0.035756
17	115.000000	5.000000	-0.034234	0.041917
17	125.000000	5.000000	-0.017823	0.047392
17	135.000000	5.000000	0.170331	0.069359
17	145.000000	5.000000	0.373609	0.107444
17	155.000000	5.000000	0.237473	0.129973
17	165.000000	5.000000	-0.884095	0.409286
17	175.000000	5.000000	-0.869954	0.803664


18	5.000000	5.000000	0.056805	0.103546
18	15.000000	5.000000	-1.609857	3.022746
18	25.000000	5.000000	-0.773834	0.308865
18	35.000000	5.000000	-0.523046	0.135473
18	45.000000	5.000000	-0.394757	0.075892
18	55.000000	5.000000	-0.354778	0.058858
18	65.000000	5.000000	-0.277621	0.046510
18	75.000000	5.000000	-0.264769	0.041143
18	85.000000	5.000000	-0.270573	0.041723
18	95.000000	5.000000	-0.146349	0.040675
18	105.000000	5.000000	-0.003627	0.044714
18	115.000000	5.000000	0.005705	0.054222
18	125.000000	5.000000	0.013735	0.060628
18	135.000000	5.000000	0.166321	0.089522
18	145.000000	5.000000	0.330602	0.136607
18	155.000000	5.000000	-0.101431	0.208915
18	165.000000	5.000000	-0.245707	0.385507
18	175.000000	5.000000	-0.570798	1.168102


19	5.000000	5.000000	-13.726353	15.683891
19	15.000000	5.000000	-13.266319	63.240056
19	25.000000	5.000000	-0.671221	0.251021
19	35.000000	5.000000	-0.282333	0.107230
19	45.000000	5.000000	-0.328185	0.065279
19	55.000000	5.000000	-0.311783	0.048165
19	65.000000	5.000000	-0.275708	0.040263
19	75.000000	5.000000	-0.263667	0.034602
19	85.000000	5.000000	-0.270008	0.034222
19	95.000000	5.000000	-0.028424	0.034215
19	105.000000	5.000000	-0.003276	0.036283
19	115.000000	5.000000	0.069313	0.041222
19	125.000000	5.000000	0.155421	0.057454
19	135.000000	5.000000	0.209433	0.078062
19	145.000000	5.000000	0.728986	0.127092
19	155.000000	5.000000	0.301961	0.207255
19	165.000000	5.000000	0.091101	0.474149
19	175.000000	5.000000	-4.415444	2.890900


20	5.000000	5.000000	0.000000	0.000000
20	15.000000	5.000000	0.440494	0.698160
20	25.000000	5.000000	-0.283009	0.225453
20	35.000000	5.000000	-0.371327	0.114848
20	45.000000	5.000000	-0.211471	0.063579
20	55.000000	5.000000	-0.205319	0.045576
20	65.000000	5.000000	-0.265886	0.039987
20	75.000000	5.000000	-0.222586	0.036746
20	85.000000	5.000000	-0.273922	0.033995
20	95.000000	5.000000	-0.124319	0.035778
20	105.000000	5.000000	-0.084119	0.037718
20	115.000000	5.000000	-0.111842	0.046482
20	125.000000	5.000000	-0.049997	0.053491
20	135.000000	5.000000	0.154976	0.073540
20	145.000000	5.000000	0.072921	0.124657
20	155.000000	5.000000	0.228779	0.186159
20	165.000000	5.000000	-0.015098	0.285360
20	175.000000	5.000000	-0.348460	0.639018


21	5.000000	5.000000	0.000000	0.000000
21	15.000000	5.000000	0.000000	0.000000
21	25.000000	5.000000	0.000000	0.000000
21	35.000000	5.000000	0.000000	0.000000
21	45.000000	5.000000	0.000000	0.000000
21	55.000000	5.000000	0.000000	0.000000
21	65.000000	5.000000	0.000000	0.000000
21	75.000000	5.000000	0.000000	0.000000
21	85.000000	5.000000	0.000000	0.000000
21	95.000000	5.000000	0.000000	0.000000
21	105.000000	5.000000	0.000000	0.000000
