TaggerCh	Theta	DTheta	Asym	DAsym
15	15.000000	5.000000	-2.909443	6.890128
15	25.000000	5.000000	-1.677858	0.569169
15	35.000000	5.000000	-1.767436	0.273812
15	45.000000	5.000000	-0.784285	0.133919
15	55.000000	5.000000	-1.028774	0.103941
15	65.000000	5.000000	-0.819385	0.077340
15	75.000000	5.000000	-0.347361	0.071249
15	85.000000	5.000000	-0.103489	0.065860
15	95.000000	5.000000	-0.115768	0.065391
15	105.000000	5.000000	0.057462	0.071493
15	115.000000	5.000000	0.502967	0.082889
15	125.000000	5.000000	0.611298	0.114507
15	135.000000	5.000000	0.583472	0.131651
15	145.000000	5.000000	1.234861	0.249297
15	155.000000	5.000000	1.625765	0.413328
15	165.000000	5.000000	0.297804	0.532458
15	175.000000	5.000000	1.343037	2.075159


16	5.000000	5.000000	0.302403	4.152999
16	15.000000	5.000000	7.300904	9.380394
16	25.000000	5.000000	-1.198595	0.352743
16	35.000000	5.000000	-1.211102	0.171434
16	45.000000	5.000000	-1.140212	0.110443
16	55.000000	5.000000	-0.792243	0.072731
16	65.000000	5.000000	-0.654167	0.058644
16	75.000000	5.000000	-0.634239	0.050643
16	85.000000	5.000000	-0.208569	0.045609
16	95.000000	5.000000	-0.095970	0.048397
16	105.000000	5.000000	0.165991	0.052667
16	115.000000	5.000000	0.239071	0.067955
16	125.000000	5.000000	0.445079	0.078700
16	135.000000	5.000000	0.660070	0.115188
16	145.000000	5.000000	1.035607	0.178237
16	155.000000	5.000000	0.457530	0.214817
16	165.000000	5.000000	0.192543	0.480536
16	175.000000	5.000000	-5.795835	9.157201


17	5.000000	5.000000	5.126223	11.281851
17	15.000000	5.000000	-0.305424	1.235548
17	25.000000	5.000000	-1.946555	0.404686
17	35.000000	5.000000	-1.667648	0.182277
17	45.000000	5.000000	-1.260134	0.100907
17	55.000000	5.000000	-0.852787	0.065949
17	65.000000	5.000000	-0.788410	0.057212
17	75.000000	5.000000	-0.513500	0.047530
17	85.000000	5.000000	-0.314348	0.041374
17	95.000000	5.000000	-0.185571	0.043394
17	105.000000	5.000000	-0.133970	0.045779
17	115.000000	5.000000	0.340469	0.054953
17	125.000000	5.000000	0.592418	0.064836
17	135.000000	5.000000	0.865110	0.098813
17	145.000000	5.000000	0.991461	0.151183
17	155.000000	5.000000	0.681678	0.175409
17	165.000000	5.000000	-0.185052	0.434694
17	175.000000	5.000000	-1.087287	1.023721


18	5.000000	5.000000	0.045342	0.127005
18	15.000000	5.000000	-2.782636	4.397680
18	25.000000	5.000000	-1.690986	0.451224
18	35.000000	5.000000	-1.009840	0.182928
18	45.000000	5.000000	-1.178324	0.112191
18	55.000000	5.000000	-1.183377	0.091045
18	65.000000	5.000000	-0.842146	0.066867
18	75.000000	5.000000	-0.542169	0.054885
18	85.000000	5.000000	-0.383634	0.053689
18	95.000000	5.000000	-0.180390	0.051608
18	105.000000	5.000000	0.105289	0.056824
18	115.000000	5.000000	0.426604	0.071666
18	125.000000	5.000000	0.583566	0.082422
18	135.000000	5.000000	1.006435	0.131979
18	145.000000	5.000000	0.827231	0.187023
18	155.000000	5.000000	1.391935	0.336736
18	165.000000	5.000000	0.760561	0.528813
18	175.000000	5.000000	-1.680373	1.904458


19	5.000000	5.000000	-14.391717	17.768990
19	15.000000	5.000000	-8.368717	28.163402
19	25.000000	5.000000	-1.361678	0.341901
19	35.000000	5.000000	-1.505037	0.161166
19	45.000000	5.000000	-1.136645	0.094502
19	55.000000	5.000000	-0.984616	0.069887
19	65.000000	5.000000	-0.819556	0.057080
19	75.000000	5.000000	-0.610027	0.047240
19	85.000000	5.000000	-0.382470	0.044172
19	95.000000	5.000000	-0.215024	0.043883
19	105.000000	5.000000	0.021891	0.046255
19	115.000000	5.000000	0.329856	0.053732
19	125.000000	5.000000	0.469352	0.075185
19	135.000000	5.000000	0.939411	0.109998
19	145.000000	5.000000	0.940197	0.162464
19	155.000000	5.000000	0.732129	0.273375
19	165.000000	5.000000	1.532914	0.753447
19	175.000000	5.000000	1.144992	1.387535


20	5.000000	5.000000	0.000000	0.000000
20	15.000000	5.000000	-1.598292	1.097559
20	25.000000	5.000000	-1.745984	0.365744
20	35.000000	5.000000	-1.043871	0.159134
20	45.000000	5.000000	-1.399424	0.102742
20	55.000000	5.000000	-0.992523	0.068755
20	65.000000	5.000000	-0.850984	0.058278
20	75.000000	5.000000	-0.577604	0.050083
20	85.000000	5.000000	-0.371735	0.043894
20	95.000000	5.000000	-0.052254	0.045367
20	105.000000	5.000000	0.089182	0.048294
20	115.000000	5.000000	0.572721	0.063334
20	125.000000	5.000000	0.612428	0.073146
20	135.000000	5.000000	0.767093	0.102587
20	145.000000	5.000000	1.063213	0.183531
20	155.000000	5.000000	0.787132	0.255370
20	165.000000	5.000000	0.763443	0.402286
20	175.000000	5.000000	3.344047	1.662283


21	5.000000	5.000000	0.000000	0.000000
21	15.000000	5.000000	0.000000	0.000000
21	25.000000	5.000000	0.000000	0.000000
21	35.000000	5.000000	0.000000	0.000000
21	45.000000	5.000000	0.000000	0.000000
21	55.000000	5.000000	0.000000	0.000000
21	65.000000	5.000000	0.000000	0.000000
21	75.000000	5.000000	0.000000	0.000000
21	85.000000	5.000000	0.000000	0.000000
21	95.000000	5.000000	0.000000	0.000000
21	105.000000	5.000000	0.000000	0.000000
21	115.000000	5.000000	0.000000	0.000000
21	125.000000	5.000000	0.000000	0.000000
21	135.000000	5.000000	0.000000	0.000000
