E_gamma_low;E_gamma_high;E_gamma_sys;costheta_center;costheta_width;H;stat;sys
900.56;932.75;5.37;-0.458;0.083;-0.0615;0.1102;0.0056
900.56;932.75;5.37;-0.375;0.083;-0.4563;0.1248;0.0245
900.56;932.75;5.37;-0.292;0.083;-0.1587;0.1067;0.0079
900.56;932.75;5.37;-0.208;0.083;-0.2112;0.1063;0.0108
900.56;932.75;5.37;-0.125;0.083;-0.1974;0.1083;0.0099
900.56;932.75;5.37;-0.042;0.083;0.0372;0.1103;0.0046
900.56;932.75;5.37;0.042;0.083;0.0219;0.1122;0.0046
900.56;932.75;5.37;0.125;0.083;-0.0087;0.1107;0.0043
900.56;932.75;5.37;0.208;0.083;0.4073;0.1294;0.0215
900.56;932.75;5.37;0.292;0.083;0.2757;0.1341;0.0148
900.56;932.75;5.37;0.375;0.083;0.3990;0.1385;0.0204
900.56;932.75;5.37;0.458;0.083;0.5801;0.1477;0.0325
900.56;932.75;5.37;0.542;0.083;0.4471;0.1501;0.0244
900.56;932.75;5.37;0.625;0.083;0.1997;0.1974;0.0153

