   W                 E3+(pi0_p)
 (MeV)      Re       DRe      Im       DIm
1384.413   -0.020    0.044    0.036    0.034
1385.863   -0.004    0.040    0.037    0.031
1386.310   -0.109    0.026    0.011    0.026
1387.318   -0.117    0.033   -0.012    0.033
1388.771   -0.110    0.033   -0.006    0.034
1389.278   -0.090    0.027    0.008    0.025
1390.183   -0.112    0.035   -0.029    0.034
1391.660   -0.019    0.042    0.038    0.031
1392.246   -0.082    0.027    0.018    0.027
1393.088    0.024    0.032    0.041    0.031
1394.522    0.088    0.037   -0.061    0.053
1395.202   -0.031    0.034    0.021    0.026
1395.941    0.007    0.035    0.033    0.032
1397.359   -0.107    0.041   -0.028    0.045
1398.158   -0.066    0.030   -0.013    0.038
1398.788   -0.114    0.039   -0.042    0.044
1400.189   -0.022    0.043    0.063    0.048
1401.107   -0.015    0.027    0.059    0.028
1401.589   -0.039    0.049    0.027    0.047
1403.001   -0.059    0.047    0.018    0.051
1404.371   -0.047    0.043    0.018    0.042
1405.787    0.035    0.029    0.076    0.033
1407.168    0.013    0.030    0.041    0.030
1408.548    0.028    0.028    0.056    0.031
1409.892    0.096    0.024    0.027    0.029
1409.919    0.079    0.037    0.049    0.037
1411.296    0.054    0.039    0.035    0.036
1412.658    0.091    0.033    0.051    0.036
1412.811    0.102    0.023    0.027    0.027
1414.019    0.076    0.034    0.035    0.033
1415.379    0.070    0.039    0.006    0.032
1416.730    0.084    0.039    0.007    0.033
1418.048    0.092    0.039    0.028    0.036
1418.623    0.106    0.026    0.015    0.026
1419.417    0.086    0.040    0.019    0.034
1420.745    0.045    0.042   -0.003    0.029
1421.517    0.031    0.023    0.046    0.031
1422.078   -0.034    0.040   -0.005    0.052
1423.397   -0.017    0.043   -0.053    0.035
1424.722   -0.045    0.044   -0.081    0.037
1426.038   -0.044    0.045   -0.066    0.040
1427.294    0.025    0.025   -0.005    0.034
1427.347    0.014    0.030   -0.045    0.033
1428.654    0.058    0.038   -0.042    0.035
1429.961    0.028    0.033   -0.029    0.035
1430.171    0.056    0.029   -0.033    0.024
1431.226    0.031    0.035   -0.037    0.037
1432.537    0.027    0.035   -0.049    0.040
1433.035    0.044    0.030   -0.045    0.024
1433.814    0.050    0.037   -0.039    0.037
1435.096    0.040    0.033   -0.068    0.039
1435.913    0.073    0.035   -0.044    0.025
1436.370    0.040    0.033   -0.028    0.032
1437.650    0.048    0.036   -0.038    0.029
1438.902    0.032    0.033   -0.022    0.034
1440.160    0.118    0.042   -0.011    0.034
1441.424    0.117    0.035   -0.000    0.032
1441.612    0.049    0.024   -0.011    0.023
1442.647    0.039    0.028   -0.029    0.032
1443.902   -0.003    0.037    0.043    0.027
1444.441    0.047    0.025    0.012    0.024
1445.142    0.005    0.041    0.039    0.027
1446.998    0.028    0.032    0.009    0.023
1447.277    0.066    0.022    0.041    0.026
1449.453    0.046    0.030    0.014    0.023
1450.107   -0.035    0.014    0.119    0.017
1451.885    0.056    0.029    0.005    0.023
1452.925   -0.032    0.013    0.106    0.017
1454.281   -0.023    0.031    0.008    0.023
1455.738    0.110    0.021   -0.010    0.020
1456.679    0.099    0.022   -0.018    0.023
1458.546   -0.007    0.014    0.112    0.014
1459.047   -0.011    0.014   -0.008    0.015
1461.348   -0.015    0.011    0.004    0.015
1461.393    0.076    0.022   -0.024    0.021
1463.721    0.086    0.023   -0.037    0.021
1464.138   -0.013    0.011   -0.003    0.014
1466.034   -0.019    0.015   -0.020    0.015
1466.923   -0.011    0.011   -0.005    0.014
1468.323   -0.008    0.015   -0.017    0.014
1469.715   -0.000    0.011   -0.013    0.014
1470.590   -0.011    0.016   -0.020    0.015
1472.413   -0.020    0.012   -0.001    0.015
1472.840   -0.025    0.016   -0.034    0.015
1475.062    0.086    0.021   -0.021    0.020
1475.253   -0.012    0.011    0.001    0.015
1477.280    0.085    0.021   -0.025    0.020
1477.998   -0.006    0.011    0.002    0.016
1479.463    0.008    0.014    0.028    0.013
1480.750    0.010    0.012    0.042    0.012
1481.631    0.002    0.015    0.030    0.014
1483.491    0.007    0.012    0.043    0.012
1483.782    0.002    0.016    0.024    0.014
1485.906   -0.008    0.016    0.028    0.014
1488.026   -0.022    0.018    0.012    0.014
1488.959   -0.009    0.013    0.027    0.013
1490.111   -0.007    0.018    0.007    0.014
1491.685   -0.006    0.013    0.026    0.013
1492.188   -0.005    0.017    0.015    0.015
1494.236   -0.016    0.017    0.006    0.014
1494.400   -0.012    0.012    0.026    0.013
1496.282   -0.018    0.017    0.006    0.014
1497.109   -0.001    0.013    0.041    0.013
1498.293    0.001    0.017    0.023    0.014
1499.814   -0.006    0.013    0.039    0.013
1500.290   -0.013    0.019    0.016    0.014
1502.277   -0.008    0.019    0.023    0.015
1502.515    0.004    0.013    0.040    0.013
1504.231    0.006    0.021    0.010    0.016
1505.141   -0.002    0.014    0.036    0.013
1506.188   -0.003    0.020    0.023    0.015
1507.882   -0.003    0.013    0.034    0.013
1508.112   -0.002    0.019    0.018    0.014
1510.014   -0.004    0.021    0.026    0.015
1510.549   -0.007    0.013    0.029    0.013
1511.921   -0.014    0.021    0.014    0.015
1513.217   -0.013    0.013    0.031    0.014
1513.887   -0.021    0.019    0.020    0.014
1515.875    0.011    0.012    0.061    0.014
1515.918    0.011    0.015    0.056    0.015
1518.015   -0.003    0.016    0.052    0.015
1518.528    0.009    0.012    0.054    0.015
1520.171    0.005    0.016    0.046    0.015
1521.176    0.001    0.012    0.052    0.014
1522.360    0.008    0.016    0.045    0.015
1523.814    0.007    0.012    0.053    0.014
1524.553   -0.002    0.016    0.049    0.015
1526.724   -0.006    0.015    0.032    0.015
1528.843   -0.000    0.015    0.038    0.015
1529.070    0.001    0.012    0.043    0.014
1530.891   -0.014    0.016    0.036    0.015
1531.681    0.003    0.012    0.039    0.014
1532.857   -0.002    0.016    0.034    0.015
1534.307   -0.007    0.011    0.059    0.014
1534.705   -0.008    0.015    0.048    0.015
1536.452   -0.020    0.015    0.050    0.015
1536.843   -0.009    0.011    0.056    0.014
1538.069   -0.013    0.015    0.058    0.015
1539.502   -0.011    0.011    0.059    0.015
1539.911   -0.027    0.015    0.057    0.016
1542.078   -0.001    0.011    0.050    0.015
1544.662   -0.002    0.017    0.022    0.017
1547.235   -0.008    0.014    0.035    0.017
1549.804   -0.006    0.013    0.029    0.017
1552.363    0.038    0.012   -0.002    0.017
1554.912    0.014    0.012   -0.024    0.018
1557.462    0.012    0.012   -0.017    0.018
1559.996    0.011    0.012   -0.021    0.018
1562.532    0.013    0.012   -0.023    0.017
1565.004    0.016    0.012   -0.024    0.018
1567.574    0.011    0.012   -0.025    0.017
1570.074    0.023    0.011   -0.006    0.016
1573.823    0.021    0.013    0.009    0.019
1577.556    0.017    0.012   -0.001    0.017
1580.035    0.022    0.012   -0.023    0.019
1582.509    0.016    0.012   -0.009    0.017
1584.973    0.013    0.012   -0.016    0.018
1587.428    0.016    0.011   -0.031    0.017
1589.891    0.030    0.015   -0.057    0.014
1592.273    0.013    0.012   -0.015    0.018
1594.764    0.002    0.013   -0.006    0.017
