   W                 M2-(pi0_p)
 (MeV)      Re       DRe      Im       DIm
1440.160    0.622    0.150    0.928    0.165
1441.424    0.676    0.165    0.861    0.124
1441.612    0.947    0.108    0.779    0.088
1442.647    0.942    0.160    0.871    0.139
1443.902    0.596    0.149    0.661    0.155
1444.441    0.420    0.127    1.056    0.069
1445.142    0.581    0.175    0.681    0.163
1446.998    0.301    0.136    0.953    0.098
1447.277    0.543    0.116    0.958    0.068
1449.453    0.416    0.136    0.777    0.113
1450.107    0.765    0.089    1.524    0.081
1451.885    0.389    0.137    0.765    0.104
1452.925    0.752    0.106    1.600    0.092
1454.281    0.625    0.107    0.661    0.104
1455.738    0.500    0.099    0.992    0.066
1456.679    0.412    0.114    0.949    0.102
1458.546    0.754    0.093    1.565    0.074
1459.047    0.699    0.153    2.088    0.085
1461.348    0.832    0.116    2.109    0.069
1461.393    0.438    0.097    1.209    0.077
1463.721    0.472    0.101    1.137    0.080
1464.138    0.819    0.122    2.167    0.070
1466.034    0.741    0.162    2.166    0.094
1466.923    0.871    0.120    2.181    0.071
1468.323    0.774    0.159    2.191    0.089
1469.715    0.856    0.123    2.286    0.069
1470.590    0.762    0.161    2.213    0.091
1472.413    0.918    0.133    2.292    0.075
1472.840    0.660    0.172    2.346    0.082
1475.062    0.284    0.096    1.315    0.076
1475.253    0.881    0.129    2.308    0.071
1477.280    0.287    0.097    1.377    0.074
1477.998    0.947    0.130    2.338    0.073
1479.463    0.637    0.146    2.116    0.078
1480.750    0.752    0.122    2.221    0.058
1481.631    0.665    0.151    2.161    0.081
1483.491    0.789    0.124    2.275    0.059
1483.782    0.665    0.153    2.210    0.085
1485.906    0.720    0.151    2.223    0.088
1488.026    0.658    0.161    2.416    0.082
1488.959    0.740    0.134    2.503    0.060
1490.111    0.622    0.165    2.522    0.080
1491.685    0.668    0.134    2.538    0.059
1492.188    0.601    0.164    2.503    0.079
1494.236    0.605    0.163    2.495    0.077
1494.400    0.684    0.139    2.564    0.060
1496.282    0.558    0.166    2.544    0.077
1497.109    0.527    0.130    2.416    0.062
1498.293    0.340    0.163    2.448    0.085
1499.814    0.465    0.131    2.446    0.062
1500.290    0.283    0.167    2.428    0.085
1502.277    0.338    0.163    2.413    0.097
1502.515    0.425    0.143    2.442    0.065
1504.231    0.231    0.175    2.462    0.093
1505.141    0.403    0.143    2.482    0.065
1506.188    0.287    0.158    2.371    0.111
1507.882    0.325    0.129    2.498    0.062
1508.112    0.210    0.164    2.403    0.099
1510.014    0.225    0.159    2.391    0.114
1510.549    0.211    0.139    2.547    0.063
1511.921    0.101    0.172    2.464    0.092
1513.217    0.038    0.141    2.537    0.065
1513.887   -0.064    0.163    2.424    0.083
1515.875   -0.090    0.126    2.327    0.065
1515.918   -0.158    0.144    2.208    0.099
1518.015   -0.178    0.137    2.133    0.100
1518.528   -0.158    0.125    2.331    0.065
1520.171   -0.241    0.140    2.173    0.097
1521.176   -0.243    0.124    2.312    0.064
1522.360   -0.366    0.155    2.291    0.088
1523.814   -0.281    0.130    2.318    0.066
1524.553   -0.352    0.140    2.150    0.095
1526.724   -0.487    0.152    2.284    0.085
1528.843   -0.490    0.151    2.245    0.088
1529.070   -0.375    0.123    2.257    0.068
1530.891   -0.461    0.138    2.106    0.098
1531.681   -0.409    0.125    2.217    0.068
1532.857   -0.500    0.136    2.076    0.096
1534.307   -0.584    0.114    1.920    0.081
1534.705   -0.586    0.125    1.691    0.120
1536.452   -0.636    0.125    1.690    0.120
1536.843   -0.599    0.111    1.825    0.082
1538.069   -0.659    0.130    1.703    0.131
1539.502   -0.661    0.108    1.805    0.083
1539.911   -0.731    0.130    1.689    0.132
1542.078   -0.599    0.108    1.737    0.084
1544.662   -0.852    0.161    1.782    0.086
1547.235   -0.852    0.119    1.704    0.079
1549.804   -0.910    0.119    1.702    0.080
1552.363   -0.808    0.101    1.507    0.081
1554.912   -0.812    0.108    1.643    0.095
1557.462   -0.774    0.105    1.567    0.095
1559.996   -0.814    0.105    1.552    0.096
1562.532   -0.804    0.103    1.511    0.092
1565.004   -0.826    0.099    1.489    0.097
1567.574   -0.800    0.095    1.427    0.094
1570.074   -0.817    0.088    1.241    0.086
1573.823   -0.747    0.099    1.195    0.098
1577.556   -0.765    0.083    1.197    0.081
1580.035   -0.744    0.085    1.260    0.093
1582.509   -0.717    0.085    1.170    0.082
1584.973   -0.763    0.086    1.177    0.089
1587.428   -0.700    0.083    1.203    0.086
1589.891   -0.735    0.123    1.430    0.073
1592.273   -0.690    0.084    1.084    0.094
1594.764   -0.721    0.082    1.031    0.082
1597.186   -0.717    0.089    1.038    0.083
1599.605   -0.719    0.084    1.002    0.087
1602.020   -0.700    0.079    1.018    0.077
1604.425   -0.661    0.070    0.992    0.070
1606.821   -0.564    0.106    1.264    0.069
1609.213   -0.592    0.107    1.240    0.072
1611.596   -0.575    0.102    1.217    0.060
1613.970   -0.716    0.105    1.224    0.068
1616.346   -0.668    0.103    1.278    0.062
1618.654   -0.656    0.113    1.208    0.072
1621.058   -0.689    0.114    1.229    0.072
1623.395   -0.499    0.113    1.383    0.057
1625.734   -0.615    0.113    1.308    0.063
1628.064   -0.601    0.104    1.327    0.060
1630.385   -0.678    0.106    1.244    0.064
1632.702   -0.571    0.117    1.155    0.065
1635.011   -0.413    0.103    1.253    0.058
1637.311   -0.617    0.108    1.208    0.059
1639.601   -0.645    0.103    1.114    0.054
1641.894   -0.838    0.106    1.164    0.061
1644.121   -0.795    0.118    1.187    0.060
1646.442   -0.788    0.113    1.175    0.058
1648.692   -0.884    0.110    1.128    0.067
1650.950   -0.927    0.110    1.137    0.072
1653.193   -0.915    0.129    1.127    0.068
1655.433   -0.870    0.126    1.125    0.067
1657.665   -0.793    0.087    0.941    0.061
1659.888   -0.870    0.083    0.932    0.063
1662.102   -0.888    0.086    0.937    0.066
1664.308   -0.936    0.080    0.893    0.066
1666.517   -0.922    0.090    0.889    0.072
1668.660   -0.955    0.090    0.889    0.074
1670.891   -1.034    0.088    0.833    0.077
1673.063   -1.028    0.089    0.835    0.076
1675.232   -0.822    0.104    0.772    0.077
1677.392   -0.806    0.108    0.828    0.072
1679.545   -0.820    0.107    0.779    0.073
1681.694   -0.775    0.084    0.818    0.065
1683.829   -0.707    0.082    0.873    0.063
1685.957   -0.757    0.080    0.855    0.062
1688.087   -0.743    0.080    0.845    0.063
1690.159   -0.788    0.089    0.730    0.069
1692.306   -0.585    0.092    0.920    0.064
1694.400   -0.605    0.089    0.888    0.066
1696.492   -0.776    0.097    0.798    0.075
1698.576   -0.731    0.101    0.790    0.076
1700.646   -0.657    0.095    0.759    0.082
1702.714   -0.685    0.093    0.740    0.081
1704.773   -0.689    0.092    0.710    0.084
1706.825   -0.670    0.089    0.704    0.084
1708.874   -0.887    0.081    0.637    0.076
1710.872   -0.895    0.080    0.572    0.075
1712.938   -0.882    0.076    0.542    0.073
1714.953   -0.902    0.071    0.504    0.072
1716.965   -0.660    0.097    0.384    0.089
1718.969   -0.780    0.107    0.521    0.093
1724.930   -0.443    0.107    0.367    0.081
1726.904   -0.434    0.106    0.401    0.084
1730.827   -0.568    0.091    0.306    0.066
1735.678   -0.459    0.097    0.182    0.066
1739.528   -0.227    0.093    0.156    0.069
