   W                 E2-(pi0_p)
 (MeV)      Re       DRe      Im       DIm
1377.347   -0.562    0.276    1.070    0.398
1378.518   -0.783    0.588    1.002    0.512
1379.994   -1.030    0.655    0.639    0.615
1380.341   -1.711    0.326    0.469    0.355
1381.483   -1.297    0.442   -0.038    0.492
1382.928   -1.107    0.379    0.467    0.524
1383.329   -1.519    0.309   -0.182    0.272
1384.413   -1.334    0.571    0.354    0.628
1385.863   -1.278    0.581    0.459    0.596
1386.310   -1.409    0.300   -0.221    0.272
1387.318   -1.384    0.450   -0.264    0.368
1388.771   -1.402    0.442   -0.212    0.368
1389.278   -1.451    0.298   -0.143    0.257
1390.183   -1.350    0.489   -0.209    0.356
1391.660   -1.327    0.544    0.404    0.622
1392.246   -1.441    0.284   -0.153    0.269
1393.088   -1.040    0.569    0.744    0.529
1394.522   -1.060    0.303    0.492    0.405
1395.202   -1.860    0.253    0.160    0.344
1395.941   -1.167    0.550    0.640    0.546
1397.359   -0.743    0.387    0.605    0.319
1398.158   -0.898    0.246    0.753    0.249
1398.788   -0.689    0.373    0.630    0.296
1400.189   -1.067    0.385    0.118    0.347
1401.107   -1.125    0.249    0.307    0.218
1401.589   -0.961    0.406    0.204    0.333
1403.001   -0.888    0.411    0.247    0.315
1404.371   -0.916    0.404    0.129    0.322
1405.787   -0.666    0.486    0.641    0.413
1407.168   -0.871    0.500    0.559    0.458
1408.548   -0.738    0.513    0.649    0.452
1409.892   -1.197    0.274    0.741    0.330
1409.919   -0.585    0.485    0.917    0.479
1411.296   -0.651    0.505    0.891    0.493
1412.658   -0.377    0.418    1.300    0.388
1412.811   -0.975    0.267    1.087    0.297
1414.019   -0.249    0.426    1.360    0.383
1415.379   -0.560    0.420    1.056    0.374
1416.730   -0.503    0.404    1.114    0.363
1418.048   -0.395    0.382    1.101    0.354
1418.623   -0.768    0.236    1.005    0.266
1419.417   -0.449    0.379    1.110    0.356
1420.745   -0.820    0.448    0.692    0.348
1421.517   -1.093    0.233    1.398    0.288
1422.078   -1.084    0.256    1.376    0.477
1423.397   -1.070    0.251    1.495    0.382
1424.722   -1.067    0.246    1.703    0.340
1426.038   -1.046    0.256    1.680    0.367
1427.294   -1.037    0.209    1.655    0.268
1427.347   -0.635    0.248    2.286    0.170
1428.654   -0.621    0.246    2.277    0.173
1429.961   -0.599    0.247    2.206    0.180
1430.171   -0.586    0.188    2.321    0.147
1431.226   -0.612    0.247    2.220    0.179
1432.537   -0.645    0.250    2.260    0.178
1433.035   -0.634    0.200    2.343    0.151
1433.814   -0.623    0.248    2.294    0.178
1435.096   -0.678    0.252    2.324    0.175
1435.913   -0.624    0.237    2.369    0.165
1436.370   -0.661    0.264    2.392    0.179
1437.650   -0.679    0.255    2.425    0.170
1438.902   -0.666    0.276    2.373    0.182
1440.160   -0.272    0.255    2.408    0.166
1441.424   -0.302    0.266    2.451    0.166
1441.612   -0.541    0.196    2.506    0.137
1442.647   -0.571    0.244    2.466    0.162
1443.902   -0.476    0.243    2.600    0.169
1444.441   -0.772    0.227    1.879    0.200
1445.142   -0.478    0.247    2.604    0.171
1446.998   -0.688    0.258    1.968    0.202
1447.277   -0.685    0.195    1.850    0.178
1449.453   -0.669    0.226    1.849    0.183
1450.107   -1.000    0.174    2.071    0.135
1451.885   -0.660    0.207    1.988    0.197
1452.925   -1.033    0.195    2.073    0.142
1454.281   -0.583    0.221    2.466    0.151
1455.738   -0.586    0.162    2.056    0.152
1456.679   -0.567    0.186    2.180    0.163
1458.546   -0.919    0.162    2.225    0.088
1459.047   -1.377    0.176    2.144    0.127
1461.348   -1.456    0.159    2.216    0.107
1461.393   -1.014    0.191    2.425    0.140
1463.721   -1.040    0.196    2.488    0.172
1464.138   -1.430    0.165    2.270    0.106
1466.034   -1.380    0.184    2.268    0.130
1466.923   -1.467    0.164    2.336    0.107
1468.323   -1.385    0.181    2.293    0.127
1469.715   -1.426    0.164    2.356    0.101
1470.590   -1.397    0.183    2.329    0.128
1472.413   -1.650    0.164    2.614    0.119
1472.840   -1.497    0.173    2.444    0.136
1475.062   -1.133    0.183    2.586    0.137
1475.253   -1.676    0.159    2.576    0.121
1477.280   -1.174    0.186    2.667    0.131
1477.998   -1.741    0.160    2.652    0.125
1479.463   -1.906    0.190    2.930    0.152
1480.750   -1.930    0.167    3.005    0.124
